date,tow.id,probe,location,position,event,time,
2022-07-18,GP109F,Star Oddi DST-TD,footrope,center,touchdown,09:23:25,
2022-07-18,GP109F,Star Oddi DST-TD,footrope,center,liftoff,09:29:19,
2022-07-18,GP120F,Star Oddi DST-TD,footrope,center,touchdown,10:45:42,
2022-07-18,GP120F,Star Oddi DST-TD,footrope,center,liftoff,10:50:37,
2022-07-18,GP098F,Star Oddi DST-TD,footrope,center,touchdown,12:48:01,
2022-07-18,GP098F,Star Oddi DST-TD,footrope,center,liftoff,12:54:20,
2022-07-18,GP081F,Star Oddi DST-TD,footrope,center,touchdown,,
2022-07-18,GP081F,Star Oddi DST-TD,footrope,center,liftoff,,
2022-07-18,GP085F,Star Oddi DST-TD,footrope,center,touchdown,15:35:44,
2022-07-18,GP085F,Star Oddi DST-TD,footrope,center,liftoff,15:40:40,
2022-07-18,GP072F,Star Oddi DST-TD,footrope,center,touchdown,17:03:22,
2022-07-18,GP072F,Star Oddi DST-TD,footrope,center,liftoff,17:08:48,
2022-07-18,GP078F,Star Oddi DST-TD,footrope,center,touchdown,18:59:48,
2022-07-18,GP078F,Star Oddi DST-TD,footrope,center,liftoff,19:04:54,
2022-07-18,GP107F,Star Oddi DST-TD,footrope,center,touchdown,20:05:25,
2022-07-18,GP107F,Star Oddi DST-TD,footrope,center,liftoff,20:10:34,
2022-07-19,GP096F,Star Oddi DST-TD,footrope,center,touchdown,05:24:04,
2022-07-19,GP096F,Star Oddi DST-TD,footrope,center,liftoff,05:29:21,
2022-07-19,GP083F,Star Oddi DST-TD,footrope,center,touchdown,07:01:16,
2022-07-19,GP083F,Star Oddi DST-TD,footrope,center,liftoff,07:06:36,
2022-07-21,GP086F,Star Oddi DST-TD,footrope,center,touchdown,08:13:44,
2022-07-21,GP086F,Star Oddi DST-TD,footrope,center,liftoff,08:18:53,
2022-07-21,GP089F,Star Oddi DST-TD,footrope,center,touchdown,09:43:47,
2022-07-21,GP089F,Star Oddi DST-TD,footrope,center,liftoff,09:49:08,
2022-07-21,GP103F,Star Oddi DST-TD,footrope,center,touchdown,12:09:32,
2022-07-21,GP103F,Star Oddi DST-TD,footrope,center,liftoff,12:14:44,
2022-07-21,GP112F,Star Oddi DST-TD,footrope,center,touchdown,13:27:19,
2022-07-21,GP112F,Star Oddi DST-TD,footrope,center,liftoff,13:32:54,
2022-07-21,GP115FR1,Star Oddi DST-TD,footrope,center,touchdown,15:20:00,
2022-07-21,GP115FR1,Star Oddi DST-TD,footrope,center,liftoff,15:25:38,
2022-07-21,GP130FR1,Star Oddi DST-TD,footrope,center,touchdown,18:10:42,
2022-07-21,GP130FR1,Star Oddi DST-TD,footrope,center,liftoff,18:14:46,
2022-07-21,GP152F,Star Oddi DST-TD,footrope,center,touchdown,19:21:37,
2022-07-21,GP152F,Star Oddi DST-TD,footrope,center,liftoff,19:26:55,
2022-07-22,GP138F,Star Oddi DST-TD,footrope,center,touchdown,05:21:17,
2022-07-22,GP138F,Star Oddi DST-TD,footrope,center,liftoff,05:25:56,
2022-07-22,GP165FR1,Star Oddi DST-TD,footrope,center,touchdown,07:41:41,
2022-07-22,GP165FR1,Star Oddi DST-TD,footrope,center,liftoff,07:47:04,
2022-07-22,GP153FR1,Star Oddi DST-TD,footrope,center,touchdown,09:43:56,
2022-07-22,GP153FR1,Star Oddi DST-TD,footrope,center,liftoff,09:49:13,
2022-07-22,GP169F,Star Oddi DST-TD,footrope,center,touchdown,10:53:17,
2022-07-22,GP169F,Star Oddi DST-TD,footrope,center,liftoff,10:58:27,
2022-07-22,GP180F,Star Oddi DST-TD,footrope,center,touchdown,12:08:45,
2022-07-22,GP180F,Star Oddi DST-TD,footrope,center,liftoff,12:14:06,
2022-07-22,GP185F,Star Oddi DST-TD,footrope,center,touchdown,13:00:57,
2022-07-22,GP185F,Star Oddi DST-TD,footrope,center,liftoff,13:05:30,
2022-07-22,GP201F,Star Oddi DST-TD,footrope,center,touchdown,14:15:34,
2022-07-22,GP201F,Star Oddi DST-TD,footrope,center,liftoff,14:20:46,
2022-07-22,GP207F,Star Oddi DST-TD,footrope,center,touchdown,15:13:25,
2022-07-22,GP207F,Star Oddi DST-TD,footrope,center,liftoff,15:18:25,
2022-07-22,GP227F,Star Oddi DST-TD,footrope,center,touchdown,16:00:01,
2022-07-22,GP227F,Star Oddi DST-TD,footrope,center,liftoff,16:05:12,
2022-07-22,GP230F,Star Oddi DST-TD,footrope,center,touchdown,16:43:07,
2022-07-22,GP230F,Star Oddi DST-TD,footrope,center,liftoff,16:48:14,
2022-07-22,GP249F,Star Oddi DST-TD,footrope,center,touchdown,20:08:18,
2022-07-22,GP249F,Star Oddi DST-TD,footrope,center,liftoff,20:13:32,
2022-07-23,GP261F,Star Oddi DST-TD,footrope,center,touchdown,05:13:35,
2022-07-23,GP261F,Star Oddi DST-TD,footrope,center,liftoff,05:18:40,
2022-07-23,GP243FR1,Star Oddi DST-TD,footrope,center,touchdown,07:44:22,
2022-07-23,GP243FR1,Star Oddi DST-TD,footrope,center,liftoff,07:49:25,
2022-07-23,GP257F,Star Oddi DST-TD,footrope,center,touchdown,08:18:00,
2022-07-23,GP257F,Star Oddi DST-TD,footrope,center,liftoff,08:23:16,
2022-07-23,GP278FR1,Star Oddi DST-TD,footrope,center,touchdown,10:40:24,
2022-07-23,GP278FR1,Star Oddi DST-TD,footrope,center,liftoff,10:45:58,
2022-07-23,GP281FR1,Star Oddi DST-TD,footrope,center,touchdown,11:54:50,
2022-07-23,GP281FR1,Star Oddi DST-TD,footrope,center,liftoff,12:00:07,
2022-07-23,GP258F,Star Oddi DST-TD,footrope,center,touchdown,12:51:58,
2022-07-23,GP258F,Star Oddi DST-TD,footrope,center,liftoff,12:57:11,
2022-07-23,GP247F,Star Oddi DST-TD,footrope,center,touchdown,13:46:05,
2022-07-23,GP247F,Star Oddi DST-TD,footrope,center,liftoff,13:51:12,
2022-07-23,GP216F,Star Oddi DST-TD,footrope,center,touchdown,18:45:38,
2022-07-23,GP216F,Star Oddi DST-TD,footrope,center,liftoff,18:50:44,
2022-07-23,GP228F,Star Oddi DST-TD,footrope,center,touchdown,20:01:58,
2022-07-23,GP228F,Star Oddi DST-TD,footrope,center,liftoff,20:07:17,
2022-07-24,GP242F,Star Oddi DST-TD,footrope,center,touchdown,05:17:50,
2022-07-24,GP242F,Star Oddi DST-TD,footrope,center,liftoff,05:23:10,
2022-07-24,GP253F,Star Oddi DST-TD,footrope,center,touchdown,06:04:15,
2022-07-24,GP253F,Star Oddi DST-TD,footrope,center,liftoff,06:09:34,
2022-07-24,GP239F,Star Oddi DST-TD,footrope,center,touchdown,07:06:56,
2022-07-24,GP239F,Star Oddi DST-TD,footrope,center,liftoff,07:12:14,
2022-07-24,GP224F,Star Oddi DST-TD,footrope,center,touchdown,08:25:09,
2022-07-24,GP224F,Star Oddi DST-TD,footrope,center,liftoff,08:30:17,
2022-07-24,GP222F,Star Oddi DST-TD,footrope,center,touchdown,09:32:54,
2022-07-24,GP222F,Star Oddi DST-TD,footrope,center,liftoff,09:38:40,
2022-07-24,GP213F,Star Oddi DST-TD,footrope,center,touchdown,10:36:18,
2022-07-24,GP213F,Star Oddi DST-TD,footrope,center,liftoff,10:41:34,
2022-07-24,GP205F,Star Oddi DST-TD,footrope,center,touchdown,11:32:01,
2022-07-24,GP205F,Star Oddi DST-TD,footrope,center,liftoff,11:37:10,
2022-07-24,GP211F,Star Oddi DST-TD,footrope,center,touchdown,12:42:28,
2022-07-24,GP211F,Star Oddi DST-TD,footrope,center,liftoff,12:47:38,
2022-07-24,GP199F,Star Oddi DST-TD,footrope,center,touchdown,14:00:04,
2022-07-24,GP199F,Star Oddi DST-TD,footrope,center,liftoff,14:05:19,
2022-07-24,GP219F,Star Oddi DST-TD,footrope,center,touchdown,15:07:43,
2022-07-24,GP219F,Star Oddi DST-TD,footrope,center,liftoff,15:13:11,
2022-07-24,GP212F,Star Oddi DST-TD,footrope,center,touchdown,16:19:48,
2022-07-24,GP212F,Star Oddi DST-TD,footrope,center,liftoff,16:25:11,
2022-07-24,GP221F,Star Oddi DST-TD,footrope,center,touchdown,17:53:20,
2022-07-24,GP221F,Star Oddi DST-TD,footrope,center,liftoff,17:58:39,
2022-07-24,GP232F,Star Oddi DST-TD,footrope,center,touchdown,18:50:28,
2022-07-24,GP232F,Star Oddi DST-TD,footrope,center,liftoff,18:55:38,
2022-07-29,GP265F,Star Oddi DST-TD,footrope,center,touchdown,14:24:12,
2022-07-29,GP265F,Star Oddi DST-TD,footrope,center,liftoff,14:29:38,
2022-07-29,GP234FR1,Star Oddi DST-TD,footrope,center,touchdown,16:59:04,
2022-07-29,GP234FR1,Star Oddi DST-TD,footrope,center,liftoff,17:04:03,
2022-07-29,GP226FR2,Star Oddi DST-TD,footrope,center,touchdown,20:37:25,
2022-07-29,GP226FR2,Star Oddi DST-TD,footrope,center,liftoff,20:41:49,
2022-07-30,GP233F,Star Oddi DST-TD,footrope,center,touchdown,05:30:41,
2022-07-30,GP233F,Star Oddi DST-TD,footrope,center,liftoff,05:35:58,
2022-07-30,GP220F,Star Oddi DST-TD,footrope,center,touchdown,06:44:01,
2022-07-30,GP220F,Star Oddi DST-TD,footrope,center,liftoff,06:49:07,
2022-07-30,GP214F,Star Oddi DST-TD,footrope,center,touchdown,08:08:49,
2022-07-30,GP214F,Star Oddi DST-TD,footrope,center,liftoff,08:14:06,
2022-07-30,GP192F,Star Oddi DST-TD,footrope,center,touchdown,09:32:51,
2022-07-30,GP192F,Star Oddi DST-TD,footrope,center,liftoff,09:38:58,
2022-07-30,GP189FR2,Star Oddi DST-TD,footrope,center,touchdown,13:01:41,
2022-07-30,GP189FR2,Star Oddi DST-TD,footrope,center,liftoff,13:07:06,
2022-07-30,GP197F,Star Oddi DST-TD,footrope,center,touchdown,14:13:25,
2022-07-30,GP197F,Star Oddi DST-TD,footrope,center,liftoff,14:17:41,
2022-07-30,GP202FR1,Star Oddi DST-TD,footrope,center,touchdown,16:57:51,
2022-07-30,GP202FR1,Star Oddi DST-TD,footrope,center,liftoff,17:02:52,
2022-07-30,GP206F,Star Oddi DST-TD,footrope,center,touchdown,18:10:02,
2022-07-30,GP206F,Star Oddi DST-TD,footrope,center,liftoff,18:14:14,
2022-07-30,GP198FR1,Star Oddi DST-TD,footrope,center,touchdown,20:24:36,
2022-07-30,GP198FR1,Star Oddi DST-TD,footrope,center,liftoff,20:29:19,
2022-07-31,GP159F,Star Oddi DST-TD,footrope,center,touchdown,08:37:34,
2022-07-31,GP159F,Star Oddi DST-TD,footrope,center,liftoff,08:43:13,
2022-07-31,GP170F,Star Oddi DST-TD,footrope,center,touchdown,09:55:36,
2022-07-31,GP170F,Star Oddi DST-TD,footrope,center,liftoff,10:00:40,
2022-07-31,GP174FR1,Star Oddi DST-TD,footrope,center,touchdown,11:45:14,
2022-07-31,GP174FR1,Star Oddi DST-TD,footrope,center,liftoff,11:50:06,
2022-07-31,GP162F,Star Oddi DST-TD,footrope,center,touchdown,12:59:12,
2022-07-31,GP162F,Star Oddi DST-TD,footrope,center,liftoff,13:04:12,
2022-07-31,GP154F,Star Oddi DST-TD,footrope,center,touchdown,14:38:38,
2022-07-31,GP154F,Star Oddi DST-TD,footrope,center,liftoff,14:43:43,
2022-07-31,GP133F,Star Oddi DST-TD,footrope,center,touchdown,15:32:59,
2022-07-31,GP133F,Star Oddi DST-TD,footrope,center,liftoff,15:38:04,
2022-07-31,GP141F,Star Oddi DST-TD,footrope,center,touchdown,16:27:24,
2022-07-31,GP141F,Star Oddi DST-TD,footrope,center,liftoff,16:32:13,
2022-07-31,GP128FR1,Star Oddi DST-TD,footrope,center,touchdown,18:35:23,
2022-07-31,GP128FR1,Star Oddi DST-TD,footrope,center,liftoff,18:40:14,
2022-07-31,GP099F,Star Oddi DST-TD,footrope,center,touchdown,20:15:39,
2022-07-31,GP099F,Star Oddi DST-TD,footrope,center,liftoff,20:20:55,
2022-08-01,GP094FR1,Star Oddi DST-TD,footrope,center,touchdown,06:24:05,
2022-08-01,GP094FR1,Star Oddi DST-TD,footrope,center,liftoff,06:28:28,
2022-08-01,GP077F,Star Oddi DST-TD,footrope,center,touchdown,07:52:40,
2022-08-01,GP077F,Star Oddi DST-TD,footrope,center,liftoff,07:57:54,
2022-08-01,GP113F,Star Oddi DST-TD,footrope,center,touchdown,11:28:08,
2022-08-01,GP113F,Star Oddi DST-TD,footrope,center,liftoff,11:33:19,
2022-08-01,GP127F,Star Oddi DST-TD,footrope,center,touchdown,12:20:20,
2022-08-01,GP127F,Star Oddi DST-TD,footrope,center,liftoff,12:25:38,
2022-08-01,GP123F,Star Oddi DST-TD,footrope,center,touchdown,13:31:27,
2022-08-01,GP123F,Star Oddi DST-TD,footrope,center,liftoff,13:36:27,
2022-08-01,GP147F,Star Oddi DST-TD,footrope,center,touchdown,14:25:53,
2022-08-01,GP147F,Star Oddi DST-TD,footrope,center,liftoff,14:30:53,
2022-08-01,GP149F,Star Oddi DST-TD,footrope,center,touchdown,15:11:31,
2022-08-01,GP149F,Star Oddi DST-TD,footrope,center,liftoff,15:16:19,
2022-08-01,GP158F,Star Oddi DST-TD,footrope,center,touchdown,15:55:27,
2022-08-01,GP158F,Star Oddi DST-TD,footrope,center,liftoff,16:00:33,
2022-08-01,GP176F,Star Oddi DST-TD,footrope,center,touchdown,17:06:21,
2022-08-01,GP176F,Star Oddi DST-TD,footrope,center,liftoff,17:11:11,
2022-08-01,GP179F,Star Oddi DST-TD,footrope,center,touchdown,18:07:52,
2022-08-01,GP179F,Star Oddi DST-TD,footrope,center,liftoff,18:12:48,
2022-08-01,GP177FR1,Star Oddi DST-TD,footrope,center,touchdown,20:18:32,
2022-08-01,GP177FR1,Star Oddi DST-TD,footrope,center,liftoff,20:23:17,
2022-08-02,GP163F,Star Oddi DST-TD,footrope,center,touchdown,05:43:28,
2022-08-02,GP163F,Star Oddi DST-TD,footrope,center,liftoff,05:48:44,
2022-08-02,GP164F,Star Oddi DST-TD,footrope,center,touchdown,06:55:07,
2022-08-02,GP164F,Star Oddi DST-TD,footrope,center,liftoff,07:00:21,
2022-08-02,GP151F,Star Oddi DST-TD,footrope,center,touchdown,08:04:49,
2022-08-02,GP151F,Star Oddi DST-TD,footrope,center,liftoff,08:09:53,
2022-08-02,GP150FR1,Star Oddi DST-TD,footrope,center,touchdown,10:26:48,
2022-08-02,GP150FR1,Star Oddi DST-TD,footrope,center,liftoff,10:31:54,
2022-08-02,GP125FR1,Star Oddi DST-TD,footrope,center,touchdown,12:20:48,
2022-08-02,GP125FR1,Star Oddi DST-TD,footrope,center,liftoff,12:25:55,
2022-08-02,GP106F,Star Oddi DST-TD,footrope,center,touchdown,13:19:11,
2022-08-02,GP106F,Star Oddi DST-TD,footrope,center,liftoff,13:24:14,
2022-08-02,GP124F,Star Oddi DST-TD,footrope,center,touchdown,14:16:15,
2022-08-02,GP124F,Star Oddi DST-TD,footrope,center,liftoff,14:21:17,
2022-08-02,GP105FR1,Star Oddi DST-TD,footrope,center,touchdown,16:18:43,
2022-08-02,GP105FR1,Star Oddi DST-TD,footrope,center,liftoff,16:24:13,
2022-08-02,GP080F,Star Oddi DST-TD,footrope,center,touchdown,17:37:31,
2022-08-02,GP080F,Star Oddi DST-TD,footrope,center,liftoff,17:42:34,
2022-08-02,GP088F,Star Oddi DST-TD,footrope,center,touchdown,18:52:33,
2022-08-02,GP088F,Star Oddi DST-TD,footrope,center,liftoff,18:57:20,
2022-08-02,GP068F,Star Oddi DST-TD,footrope,center,touchdown,19:59:49,
2022-08-02,GP068F,Star Oddi DST-TD,footrope,center,liftoff,20:04:11,
2022-08-03,GP049F,Star Oddi DST-TD,footrope,center,touchdown,05:39:04,
2022-08-03,GP049F,Star Oddi DST-TD,footrope,center,liftoff,05:44:18,
2022-08-03,GP061F,Star Oddi DST-TD,footrope,center,touchdown,06:33:30,
2022-08-03,GP061F,Star Oddi DST-TD,footrope,center,liftoff,06:38:33,
2022-08-03,GP076FR1,Star Oddi DST-TD,footrope,center,touchdown,08:48:03,
2022-08-03,GP076FR1,Star Oddi DST-TD,footrope,center,liftoff,08:53:20,
2022-08-03,GP046F,Star Oddi DST-TD,footrope,center,touchdown,10:21:49,
2022-08-03,GP046F,Star Oddi DST-TD,footrope,center,liftoff,10:27:01,
2022-08-03,GP048F,Star Oddi DST-TD,footrope,center,touchdown,11:53:36,
2022-08-03,GP048F,Star Oddi DST-TD,footrope,center,liftoff,11:58:31,
2022-08-03,GP067F,Star Oddi DST-TD,footrope,center,touchdown,12:59:50,
2022-08-03,GP067F,Star Oddi DST-TD,footrope,center,liftoff,13:04:44,
2022-08-03,GP066F,Star Oddi DST-TD,footrope,center,touchdown,14:17:09,
2022-08-03,GP066F,Star Oddi DST-TD,footrope,center,liftoff,14:22:14,
2022-08-03,GP050F,Star Oddi DST-TD,footrope,center,touchdown,15:13:01,
2022-08-03,GP050F,Star Oddi DST-TD,footrope,center,liftoff,15:18:10,
2022-08-03,GP032F,Star Oddi DST-TD,footrope,center,touchdown,16:21:25,
2022-08-03,GP032F,Star Oddi DST-TD,footrope,center,liftoff,16:26:54,
2022-08-03,GP044F,Star Oddi DST-TD,footrope,center,touchdown,17:40:51,
2022-08-03,GP044F,Star Oddi DST-TD,footrope,center,liftoff,17:45:42,
2022-08-03,GP025F,Star Oddi DST-TD,footrope,center,touchdown,19:12:38,
2022-08-03,GP025F,Star Oddi DST-TD,footrope,center,liftoff,19:17:55,
2022-08-03,GP036F,Star Oddi DST-TD,footrope,center,touchdown,20:32:43,
2022-08-03,GP036F,Star Oddi DST-TD,footrope,center,liftoff,20:37:15,
2022-08-04,GP026F,Star Oddi DST-TD,footrope,center,touchdown,05:41:19,
2022-08-04,GP026F,Star Oddi DST-TD,footrope,center,liftoff,05:46:30,
2022-08-04,GP024F,Star Oddi DST-TD,footrope,center,touchdown,06:53:35,
2022-08-04,GP024F,Star Oddi DST-TD,footrope,center,liftoff,06:58:55,
2022-08-04,GP016F,Star Oddi DST-TD,footrope,center,touchdown,08:34:54,
2022-08-04,GP016F,Star Oddi DST-TD,footrope,center,liftoff,08:40:35,
2022-08-04,GP023F,Star Oddi DST-TD,footrope,center,touchdown,09:58:29,
2022-08-04,GP023F,Star Oddi DST-TD,footrope,center,liftoff,10:03:31,
2022-08-04,GP019F,Star Oddi DST-TD,footrope,center,touchdown,11:13:32,
2022-08-04,GP019F,Star Oddi DST-TD,footrope,center,liftoff,11:19:29,
2022-08-04,GP018F,Star Oddi DST-TD,footrope,center,touchdown,12:19:28,
2022-08-04,GP018F,Star Oddi DST-TD,footrope,center,liftoff,12:24:28,
2022-08-04,GP028F,Star Oddi DST-TD,footrope,center,touchdown,14:06:13,
2022-08-04,GP028F,Star Oddi DST-TD,footrope,center,liftoff,14:11:39,
2022-08-04,GP022F,Star Oddi DST-TD,footrope,center,touchdown,15:53:39,
2022-08-04,GP022F,Star Oddi DST-TD,footrope,center,liftoff,15:59:22,
2022-08-04,GP030F,Star Oddi DST-TD,footrope,center,touchdown,17:15:29,
2022-08-04,GP030F,Star Oddi DST-TD,footrope,center,liftoff,17:21:15,
2022-08-04,GP040F,Star Oddi DST-TD,footrope,center,touchdown,18:20:09,
2022-08-04,GP040F,Star Oddi DST-TD,footrope,center,liftoff,18:25:32,
2022-08-04,GP042F,Star Oddi DST-TD,footrope,center,touchdown,19:30:42,
2022-08-04,GP042F,Star Oddi DST-TD,footrope,center,liftoff,19:36:25,
2022-08-04,GP031F,Star Oddi DST-TD,footrope,center,touchdown,20:57:29,
2022-08-04,GP031F,Star Oddi DST-TD,footrope,center,liftoff,21:02:04,
2022-08-05,GP041FR1,Star Oddi DST-TD,footrope,center,touchdown,07:19:23,
2022-08-05,GP041FR1,Star Oddi DST-TD,footrope,center,liftoff,07:24:32,
2022-08-05,GP039F,Star Oddi DST-TD,footrope,center,touchdown,08:40:47,
2022-08-05,GP039F,Star Oddi DST-TD,footrope,center,liftoff,08:46:05,
2022-08-05,GP045F,Star Oddi DST-TD,footrope,center,touchdown,09:46:42,
2022-08-05,GP045F,Star Oddi DST-TD,footrope,center,liftoff,09:52:08,
2022-08-05,GP051FR1,Star Oddi DST-TD,footrope,center,touchdown,12:15:59,
