date,tow.id,probe,probe.type,location,position,event,time
13-08-08,GP075F,minilog,TD,headline,center,touchdown,11:16:33
13-08-08,GP074F,minilog,TD,headline,center,touchdown,13:01:31
13-08-08,GP092A1R,minilog,TD,headline,center,touchdown,14:50:07
13-08-08,GP040F,minilog,TD,headline,center,touchdown,19:04:49
13-08-13,GP028A1,minilog,TD,headline,center,touchdown,8:41:59
13-08-13,GP017F,minilog,TD,headline,center,touchdown,10:14:22
13-08-13,GP018F,minilog,TD,headline,center,touchdown,12:53:15
13-08-13,GP019F,minilog,TD,headline,center,touchdown,14:16:39
13-08-13,GP013F,minilog,TD,headline,center,touchdown,15:43:40
13-08-13,GP012F,minilog,TD,headline,center,touchdown,18:07:49
13-08-13,GP011F,minilog,TD,headline,center,touchdown,19:43:40
13-08-14,GP002F,minilog,TD,headline,center,touchdown,6:10:43
13-08-14,GP004F,minilog,TD,headline,center,touchdown,7:25:48
13-08-14,GP006F,minilog,TD,headline,center,touchdown,10:18:47
13-08-16,GP001F,minilog,TD,headline,center,touchdown,5:58:17
13-08-16,GP003A1,minilog,TD,headline,center,touchdown,8:16:06
13-08-16,GP005A1,minilog,TD,headline,center,touchdown,11:11:30
13-08-16,GP008F,minilog,TD,headline,center,touchdown,12:24:33
13-08-16,GP007F,minilog,TD,headline,center,touchdown,13:54:54
13-08-16,GP009F,minilog,TD,headline,center,touchdown,15:11:36
13-08-16,GP010A1,minilog,TD,headline,center,touchdown,17:27:09
13-08-17,GP069F,minilog,TD,headline,center,touchdown,6:10:28
13-08-17,GP068F,minilog,TD,headline,center,touchdown,7:33:58
13-08-17,GP051F,minilog,TD,headline,center,touchdown,9:09:08
13-08-17,GP050F,minilog,TD,headline,center,touchdown,11:47:39
13-08-17,GP067A1,minilog,TD,headline,center,touchdown,13:55:47
13-08-17,GP066F,minilog,TD,headline,center,touchdown,15:04:32
13-08-17,GP049A1,minilog,TD,headline,center,touchdown,17:25:21
13-08-18,GP065F,minilog,TD,headline,center,touchdown,5:55:40
13-08-18,GP048F,minilog,TD,headline,center,touchdown,7:20:27
13-08-18,GP047F,minilog,TD,headline,center,touchdown,12:51:13
13-08-18,GP064F,minilog,TD,headline,center,touchdown,14:07:54
13-08-18,GP046A1,minilog,TD,headline,center,touchdown,15:33:00
13-08-27,GP195F,minilog,TD,headline,center,touchdown,6:20:28
13-08-27,GP179A1,minilog,TD,headline,center,touchdown,8:16:41
13-08-27,GP196F,minilog,TD,headline,center,touchdown,9:11:27
13-08-27,GP197F,minilog,TD,headline,center,touchdown,10:47:00
13-08-27,GP180F,minilog,TD,headline,center,touchdown,12:10:59
13-08-27,GP181F,minilog,TD,headline,center,touchdown,13:05:44
13-08-27,GP198F,minilog,TD,headline,center,touchdown,14:00:11
13-08-27,GP214F,minilog,TD,headline,center,touchdown,15:30:29
13-08-27,GP213F,minilog,TD,headline,center,touchdown,16:44:10
13-08-27,GP229F,minilog,TD,headline,center,touchdown,18:15:24
13-08-27,GP199F,minilog,TD,headline,center,touchdown,19:45:38
13-08-28,GP324F,minilog,TD,headline,center,touchdown,6:12:53
13-08-28,GP336A1,minilog,TD,headline,center,touchdown,8:09:00
13-08-28,GP344F,minilog,TD,headline,center,touchdown,9:28:52
13-08-28,GP335F,minilog,TD,headline,center,touchdown,11:00:52
13-08-28,GP323F,minilog,TD,headline,center,touchdown,12:28:57
13-08-28,GP322F,minilog,TD,headline,center,touchdown,13:47:13
13-08-28,GP321F,minilog,TD,headline,center,touchdown,14:48:19
13-08-28,GP311F,minilog,TD,headline,center,touchdown,15:42:01
13-08-28,GP310F,minilog,TD,headline,center,touchdown,16:35:01
13-08-31,GP215F,minilog,TD,headline,center,touchdown,13:26:04
13-08-31,GP230A1,minilog,TD,headline,center,touchdown,16:01:47
13-08-31,GP245A1,minilog,TD,headline,center,touchdown,18:09:11
13-09-01,GP261A2,minilog,TD,headline,center,touchdown,8:00:50
13-09-01,GP262F,minilog,TD,headline,center,touchdown,9:09:10
13-09-01,GP247F,minilog,TD,headline,center,touchdown,10:01:34
13-09-01,GP246A1,minilog,TD,headline,center,touchdown,12:40:04
13-09-01,GP231A1,minilog,TD,headline,center,touchdown,14:56:56
13-09-01,GP216F,minilog,TD,headline,center,touchdown,16:41:00
13-09-01,GP232A1,minilog,TD,headline,center,touchdown,18:54:39
13-09-04,GP182F,minilog,TD,headline,center,touchdown,17:34:13
13-09-04,GP164F,minilog,TD,headline,center,touchdown,18:17:45
13-09-05,GP106F,minilog,TD,headline,center,touchdown,6:25:36
13-09-05,GP087F,minilog,TD,headline,center,touchdown,7:33:39
13-09-05,GP086F,minilog,TD,headline,center,touchdown,8:48:18
13-09-05,GP104F,minilog,TD,headline,center,touchdown,10:22:53
13-09-05,GP105A1,minilog,TD,headline,center,touchdown,12:11:54
13-09-05,GP085F,minilog,TD,headline,center,touchdown,13:41:40
13-09-05,GP084F,minilog,TD,headline,center,touchdown,14:49:44
13-09-05,GP103F,minilog,TD,headline,center,touchdown,16:01:08
13-09-05,GP083F,minilog,TD,headline,center,touchdown,17:19:02
13-09-05,GP082A1,minilog,TD,headline,center,touchdown,19:23:05
13-09-06,GP063A2,minilog,TD,headline,center,touchdown,7:55:23
13-09-06,GP081F,minilog,TD,headline,center,touchdown,9:26:36
13-09-06,GP100F,minilog,TD,headline,center,touchdown,10:45:17
13-09-06,GP121F,minilog,TD,headline,center,touchdown,12:14:29
13-09-06,GP099F,minilog,TD,headline,center,touchdown,14:01:09
13-09-06,GP120F,minilog,TD,headline,center,touchdown,15:17:05
13-09-06,GP119F,minilog,TD,headline,center,touchdown,16:38:26
13-09-06,GP118A1,minilog,TD,headline,center,touchdown,19:12:31
13-09-10,GP222F,minilog,TD,headline,center,touchdown,15:42:20
13-09-10,GP238F,minilog,TD,headline,center,touchdown,17:01:11
13-09-10,GP254F,minilog,TD,headline,center,touchdown,18:31:30
13-09-10,GP239F,minilog,TD,headline,center,touchdown,19:43:23
13-09-11,GP255F,minilog,TD,headline,center,touchdown,6:47:33
13-09-11,GP271F,minilog,TD,headline,center,touchdown,8:00:28
13-09-11,GP272F,minilog,TD,headline,center,touchdown,9:07:59
13-09-11,GP240F,minilog,TD,headline,center,touchdown,11:29:09
13-09-11,GP223A1,minilog,TD,headline,center,touchdown,13:36:15
13-09-11,GP206A2,minilog,TD,headline,center,touchdown,17:04:04
13-09-11,GP190F,minilog,TD,headline,center,touchdown,18:42:01
13-09-11,GP173F,minilog,TD,headline,center,touchdown,19:21:54
13-09-12,GP136A1,minilog,TD,headline,center,touchdown,7:29:22
13-09-12,GP155F,minilog,TD,headline,center,touchdown,8:45:40
13-09-12,GP156F,minilog,TD,headline,center,touchdown,9:29:13
13-09-12,GP174F,minilog,TD,headline,center,touchdown,10:12:13
13-09-12,GP191F,minilog,TD,headline,center,touchdown,11:38:25
13-09-12,GP207F,minilog,TD,headline,center,touchdown,13:20:22
13-09-12,GP224F,minilog,TD,headline,center,touchdown,14:30:13
13-09-12,GP225F,minilog,TD,headline,center,touchdown,15:38:43
13-09-12,GP242F,minilog,TD,headline,center,touchdown,17:00:11
13-09-12,GP276F,minilog,TD,headline,center,touchdown,18:38:10
13-09-14,GP309F,minilog,TD,headline,center,touchdown,13:06:03
13-09-14,GP320F,minilog,TD,headline,center,touchdown,14:04:47
13-09-14,GP332F,minilog,TD,headline,center,touchdown,15:27:42
13-09-14,GP333F,minilog,TD,headline,center,touchdown,16:38:31
13-09-14,GP334F,minilog,TD,headline,center,touchdown,17:53:03
13-09-15,GP218A1,minilog,TD,headline,center,touchdown,8:01:05
13-09-15,GP217F,minilog,TD,headline,center,touchdown,9:27:37
13-09-15,GP201F,minilog,TD,headline,center,touchdown,10:50:24
13-09-15,GP200F,minilog,TD,headline,center,touchdown,12:24:44
13-09-15,GP183A1,minilog,TD,headline,center,touchdown,14:00:57
13-09-15,GP184A1,minilog,TD,headline,center,touchdown,15:57:47
13-09-15,GP166A1,minilog,TD,headline,center,touchdown,17:57:10
13-09-15,GP165F,minilog,TD,headline,center,touchdown,19:09:24
13-09-16,GP148A3,minilog,TD,headline,center,touchdown,8:54:53
13-09-16,GP127F,minilog,TD,headline,center,touchdown,10:02:33
13-09-16,GP147F,minilog,TD,headline,center,touchdown,10:59:26
13-09-16,GP126F,minilog,TD,headline,center,touchdown,12:00:43
13-09-16,GP125F,minilog,TD,headline,center,touchdown,12:56:59
13-09-16,GP146F,minilog,TD,headline,center,touchdown,14:25:09
13-09-16,GP145F,minilog,TD,headline,center,touchdown,15:31:45
13-09-16,GP123F,minilog,TD,headline,center,touchdown,16:42:53
13-09-16,GP124F,minilog,TD,headline,center,touchdown,17:46:02
13-09-16,GP102F,minilog,TD,headline,center,touchdown,18:49:18
13-09-25,GP286F,minilog,TD,headline,center,touchdown,6:56:18
13-09-25,GP275A1,minilog,TD,headline,center,touchdown,9:05:04
13-09-25,GP287F,minilog,TD,headline,center,touchdown,10:40:15
13-09-25,GP288F,minilog,TD,headline,center,touchdown,11:52:39
13-09-25,GP299F,minilog,TD,headline,center,touchdown,12:50:38
13-09-25,GP300F,minilog,TD,headline,center,touchdown,13:40:44
13-09-25,GP289F,minilog,TD,headline,center,touchdown,14:56:16
13-09-25,GP244F,minilog,TD,headline,center,touchdown,17:49:45
13-09-25,GP243F,minilog,TD,headline,center,touchdown,18:42:53
13-09-28,GP267F,minilog,TD,headline,center,touchdown,6:51:20
13-09-28,GP253F,minilog,TD,headline,center,touchdown,10:52:12
13-09-28,GP269F,minilog,TD,headline,center,touchdown,12:13:28
13-09-28,GP281F,minilog,TD,headline,center,touchdown,13:30:33
13-09-28,GP293F,minilog,TD,headline,center,touchdown,15:05:49
13-09-28,GP282F,minilog,TD,headline,center,touchdown,16:17:53
13-09-28,GP270F,minilog,TD,headline,center,touchdown,17:43:16
13-09-28,GP283F,minilog,TD,headline,center,touchdown,18:54:10
13-09-29,GP294F,minilog,TD,headline,center,touchdown,6:51:28
13-09-29,GP295F,minilog,TD,headline,center,touchdown,7:59:10
13-09-29,GP284F,minilog,TD,headline,center,touchdown,9:07:32
13-09-29,GP296F,minilog,TD,headline,center,touchdown,10:10:29
13-09-29,GP304F,minilog,TD,headline,center,touchdown,11:48:02
13-09-29,GP316F,minilog,TD,headline,center,touchdown,12:55:20
13-09-29,GP305F,minilog,TD,headline,center,touchdown,14:11:00
13-09-29,GP297F,minilog,TD,headline,center,touchdown,15:24:35
13-09-29,GP298F,minilog,TD,headline,center,touchdown,16:27:37
13-09-29,GP306F,minilog,TD,headline,center,touchdown,17:10:59
13-09-29,GP307F,minilog,TD,headline,center,touchdown,18:33:15
13-09-30,GP342F,minilog,TD,headline,center,touchdown,6:51:46
13-09-30,GP343F,minilog,TD,headline,center,touchdown,8:10:35
13-09-30,GP351FR,minilog,TD,headline,center,touchdown,10:33:10
13-09-30,GP355F,minilog,TD,headline,center,touchdown,13:02:59
13-09-30,GP350F,minilog,TD,headline,center,touchdown,14:33:57
13-09-30,GP354F,minilog,TD,headline,center,touchdown,15:22:53
13-09-30,GP353FR,minilog,TD,headline,center,touchdown,17:43:53
13-10-01,GP347F,minilog,TD,headline,center,touchdown,6:55:47
13-10-01,GP348F,minilog,TD,headline,center,touchdown,8:25:24
13-10-01,GP349A2,minilog,TD,headline,center,touchdown,10:49:58
13-10-01,GP341F,minilog,TD,headline,center,touchdown,12:12:37
13-10-01,GP340F,minilog,TD,headline,center,touchdown,13:32:20
13-10-01,GP339F,minilog,TD,headline,center,touchdown,14:56:34
13-10-01,GP330F,minilog,TD,headline,center,touchdown,16:17:31
13-10-01,GP331F,minilog,TD,headline,center,touchdown,17:28:02
13-10-01,GP319F,minilog,TD,headline,center,touchdown,18:23:16
13-10-02,GP329F,minilog,TD,headline,center,touchdown,7:02:36
13-10-02,GP317F,minilog,TD,headline,center,touchdown,8:35:02
13-10-02,GP318F,minilog,TD,headline,center,touchdown,9:45:54
13-10-02,GP308F,minilog,TD,headline,center,touchdown,11:20:46
13-10-02,GP259F,minilog,TD,headline,center,touchdown,15:43:43
13-10-09,GP285F,minilog,TD,headline,center,touchdown,10:05:46
13-10-09,GP273F,minilog,TD,headline,center,touchdown,11:28:17
13-10-09,GP256A1,minilog,TD,headline,center,touchdown,13:21:55
13-10-09,GP274F,minilog,TD,headline,center,touchdown,14:29:39
13-10-09,GP257F,minilog,TD,headline,center,touchdown,15:38:23
13-10-09,GP258F,minilog,TD,headline,center,touchdown,16:28:12
13-10-09,GP241F,minilog,TD,headline,center,touchdown,17:30:04
13-10-10,GP192F,minilog,TD,headline,center,touchdown,16:17:36
13-10-10,GP208A1,minilog,TD,headline,center,touchdown,18:07:31
13-10-11,GP101F,minilog,TD,headline,center,touchdown,7:06:53
13-10-11,GP122F,minilog,TD,headline,center,touchdown,8:15:46
13-10-11,GP143F,minilog,TD,headline,center,touchdown,9:30:16
13-10-11,GP144F,minilog,TD,headline,center,touchdown,10:55:02
13-10-11,GP163F,minilog,TD,headline,center,touchdown,12:00:29
13-10-11,GP162F,minilog,TD,headline,center,touchdown,13:33:12
13-10-11,GP142A1,minilog,TD,headline,center,touchdown,15:42:33
13-10-11,GP161A1,minilog,TD,headline,center,touchdown,18:01:36
13-10-12,GP141A2,minilog,TD,headline,center,touchdown,9:50:28
13-10-12,GP160F,minilog,TD,headline,center,touchdown,10:58:12
13-10-12,GP140A1,minilog,TD,headline,center,touchdown,13:02:58
13-10-12,GP159F,minilog,TD,headline,center,touchdown,14:01:48
13-10-12,GP178F,minilog,TD,headline,center,touchdown,15:05:22
13-10-12,GP194F,minilog,TD,headline,center,touchdown,16:26:02
13-10-12,GP177F,minilog,TD,headline,center,touchdown,17:28:45
13-10-13,GP175A1,minilog,TD,headline,center,touchdown,8:02:42
13-10-13,GP176A1,minilog,TD,headline,center,touchdown,9:51:26
13-10-13,GP193F,minilog,TD,headline,center,touchdown,11:24:52
13-10-13,GP210F,minilog,TD,headline,center,touchdown,12:51:19
13-10-13,GP209F,minilog,TD,headline,center,touchdown,13:55:41
13-10-13,GP226A1,minilog,TD,headline,center,touchdown,15:05:35
13-10-13,GP227F,minilog,TD,headline,center,touchdown,16:17:29
13-10-13,GP211F,minilog,TD,headline,center,touchdown,17:24:56
13-10-13,GP228F,minilog,TD,headline,center,touchdown,18:23:34
13-10-14,GP212F,minilog,TD,headline,center,touchdown,7:33:14
13-07-09,GP110A2,minilog,TD,headline,center,liftoff,8:45:25
13-07-09,GP152F,minilog,TD,headline,center,liftoff,10:36:19
13-07-09,GP131F,minilog,TD,headline,center,liftoff,11:46:43
13-07-09,GP130F,minilog,TD,headline,center,liftoff,13:00:19
13-07-09,GP151F,minilog,TD,headline,center,liftoff,14:39:49
13-07-09,GP150F,minilog,TD,headline,center,liftoff,16:17:41
13-07-09,GP169A1,minilog,TD,headline,center,liftoff,18:42:49
13-07-09,GP187FR,minilog,TD,headline,center,liftoff,20:30:40
13-07-10,GP205A1,minilog,TD,headline,center,liftoff,7:17:59
13-07-10,GP220F,minilog,TD,headline,center,liftoff,13:14:32
13-07-10,GP235F,minilog,TD,headline,center,liftoff,14:58:16
13-07-10,GP234F,minilog,TD,headline,center,liftoff,16:19:15
13-07-10,GP250A1,minilog,TD,headline,center,liftoff,18:51:28
13-07-10,GP249F,minilog,TD,headline,center,liftoff,20:26:35
13-07-10,GP264F,minilog,TD,headline,center,liftoff,21:19:58
13-07-11,GP279F,minilog,TD,headline,center,liftoff,5:34:23
13-07-12,GP314F,minilog,TD,headline,center,liftoff,5:32:06
13-07-12,GP315F,minilog,TD,headline,center,liftoff,7:37:58
13-07-12,GP328F,minilog,TD,headline,center,liftoff,9:40:37
13-07-12,GP313F,minilog,TD,headline,center,liftoff,11:07:34
13-07-12,GP327F,minilog,TD,headline,center,liftoff,12:34:54
13-07-12,GP338F,minilog,TD,headline,center,liftoff,13:56:29
13-07-12,GP346F,minilog,TD,headline,center,liftoff,15:53:27
13-07-12,GP345F,minilog,TD,headline,center,liftoff,17:29:51
13-07-12,GP337F,minilog,TD,headline,center,liftoff,19:26:31
13-07-12,GP325F,minilog,TD,headline,center,liftoff,20:43:01
13-07-13,GP326A1,minilog,TD,headline,center,liftoff,6:31:32
13-07-13,GP301A1,minilog,TD,headline,center,liftoff,13:04:44
13-07-13,GP302F,minilog,TD,headline,center,liftoff,14:30:38
13-07-13,GP290F,minilog,TD,headline,center,liftoff,15:53:46
13-07-13,GP291F,minilog,TD,headline,center,liftoff,17:03:40
13-07-13,GP303F,minilog,TD,headline,center,liftoff,18:10:21
13-07-13,GP292F,minilog,TD,headline,center,liftoff,20:24:10
13-07-14,GP280F,minilog,TD,headline,center,liftoff,5:26:52
13-07-14,GP265F,minilog,TD,headline,center,liftoff,6:55:48
13-07-14,GP266F,minilog,TD,headline,center,liftoff,8:58:41
13-07-14,GP251F,minilog,TD,headline,center,liftoff,11:11:18
13-07-14,GP237A1,minilog,TD,headline,center,liftoff,15:41:46
13-07-14,GP236A1,minilog,TD,headline,center,liftoff,18:46:49
13-07-14,GP221F,minilog,TD,headline,center,liftoff,21:22:14
13-07-15,GP189F,minilog,TD,headline,center,liftoff,6:02:15
13-07-15,GP188A1,minilog,TD,headline,center,liftoff,8:19:10
13-07-15,GP170F,minilog,TD,headline,center,liftoff,9:56:14
13-07-15,GP171F,minilog,TD,headline,center,liftoff,10:59:34
13-07-15,GP172F,minilog,TD,headline,center,liftoff,13:42:48
13-07-15,GP153F,minilog,TD,headline,center,liftoff,15:43:39
13-07-15,GP132F,minilog,TD,headline,center,liftoff,17:13:50
13-07-15,GP111F,minilog,TD,headline,center,liftoff,19:29:36
13-07-22,GP038A1,minilog,TD,headline,center,liftoff,7:09:47
13-07-22,GP037A1,minilog,TD,headline,center,liftoff,9:29:16
13-07-22,GP052F,minilog,TD,headline,center,liftoff,10:44:01
13-07-22,GP027A1,minilog,TD,headline,center,liftoff,17:52:23
13-07-22,GP026F,minilog,TD,headline,center,liftoff,19:16:45
13-07-22,GP025F,minilog,TD,headline,center,liftoff,20:47:23
13-07-23,GP024F,minilog,TD,headline,center,liftoff,5:42:33
13-07-23,GP016A1,minilog,TD,headline,center,liftoff,7:55:34
13-07-23,GP015F,minilog,TD,headline,center,liftoff,9:02:09
13-07-23,GP014F,minilog,TD,headline,center,liftoff,10:47:01
13-07-23,GP023F,minilog,TD,headline,center,liftoff,12:05:49
13-07-23,GP022F,minilog,TD,headline,center,liftoff,13:26:41
13-07-23,GP021A1,minilog,TD,headline,center,liftoff,16:59:10
13-07-23,GP020F,minilog,TD,headline,center,liftoff,18:26:29
13-07-24,GP045A2,minilog,TD,headline,center,liftoff,7:19:47
13-07-24,GP062F,minilog,TD,headline,center,liftoff,8:28:14
13-07-24,GP061F,minilog,TD,headline,center,liftoff,9:45:59
13-07-24,GP080A1,minilog,TD,headline,center,liftoff,12:46:10
13-07-24,GP098A1,minilog,TD,headline,center,liftoff,15:41:14
13-07-24,GP079A1,minilog,TD,headline,center,liftoff,17:23:10
13-07-24,GP097A1,minilog,TD,headline,center,liftoff,19:43:20
13-07-25,GP078F,minilog,TD,headline,center,liftoff,5:40:03
13-07-25,GP060A1,minilog,TD,headline,center,liftoff,8:12:49
13-07-25,GP077A1,minilog,TD,headline,center,liftoff,11:23:25
13-07-25,GP096F,minilog,TD,headline,center,liftoff,12:17:41
13-07-25,GP116F,minilog,TD,headline,center,liftoff,14:04:01
13-07-25,GP115F,minilog,TD,headline,center,liftoff,15:33:58
13-07-25,GP137A1,minilog,TD,headline,center,liftoff,17:56:40
