"date","cruise","set.number","experiment","start.time","stop.time","station","duration","latitude.start","longitude.start","latitude.stop","longitude.stop","area","depth.start","depth.end","wind","wind.force","current","gear","auxiliary","warp","comment"
"2020-07-12","P150",21,3,"09:53:00","10:08:00",169,15,4638.29,6440.13,4637.64,6439.92,NA,11,11,5,4,1,13,1,46,"Lobster trap caught in trawl. Appeared to have partially or completely blocked the trawl. NULL set."
"2020-07-12","P150",22,1,"11:00:00","11:15:00",169,15,4638.21,6439.97,4637.56,6439.88,NA,11,11,5,4,1,13,1,47,""
"2020-07-12","P150",23,1,"13:01:00","13:13:00",152,12,4643.96,6437.15,4643.29,6336.96,NA,17,16,5,4,1,13,1,63,""
"2020-07-12","P150",24,1,"14:09:00","14:24:00",134,15,4647.89,6437.41,4648.53,6437.49,NA,20,21,5,3,1,13,1,73,""
"2020-07-12","P150",25,1,"15:21:00","15:36:00",111,15,4651.95,6434.5,4652.61,6434.5,NA,26,26,5,5,1,13,1,85,""
"2020-07-12","P150",26,1,"16:48:00","17:03:00",107,15,4652.16,6445.68,4652.76,6445.19,NA,12,13,6,5,1,13,1,42,""
"2020-07-13","P150",27,1,"07:11:00","07:26:00",130,15,4648,6448.86,4647.64,6448.08,NA,12,14,7,2,1,13,1,47,""
"2020-07-13","P150",28,1,"09:33:00","09:48:00",120,15,4650.2,6442.98,4649.54,6442.96,NA,21,20,7,3,1,13,1,71,""
"2020-07-13","P150",29,3,"10:55:00","11:10:00",141,15,4646.02,6445.63,4645.54,6445.06,NA,16,17,7,4,1,13,1,61,"bottom cable of net ripped"
"2020-07-16","P150",30,1,"09:10:00","09:20:00",258,10,4622.48,6406.54,4622.77,6407.59,433,7,7,2,4,4,19,1,50,""
"2020-07-16","P150",31,1,"11:06:00","11:16:00",276,10,4620.09,6455.55,4620.01,6454.95,NA,8,8,2,4,1,19,1,35,""
"2020-07-16","P150",32,1,"13:20:00","13:30:00",290,10,4617.87,6355.01,4617.75,6354.49,433,14,15,2,4,1,19,1,50,""
"2020-07-16","P150",33,1,"15:00:00","15:10:00",301,10,4615.93,6405.5,4615.91,6406.08,NA,10,11,2,4,4,19,1,40,""
"2020-07-17","P150",34,NA,"08:16:00","08:26:00",212,10,4630.27,6431.78,4629.93,6431.46,NA,9,10,6,3,1,19,1,31,""
"2020-07-17","P150",35,1,"10:40:00","10:50:00",141,10,4646.06,6445.34,4645.68,6445.01,NA,16,16,4,2,1,19,1,52,""
"2020-07-17","P150",36,1,"14:42:00","14:52:00",130,10,4647.95,6448.7,4648.28,6449.13,NA,11,10,4,3,1,19,1,50,""
"2020-07-18","P150",37,1,"07:17:00","07:27:00",107,10,4652.81,6446.35,4652.39,6446.18,NA,13,12,6,3,1,19,1,50,"The end coordinate decimals were not written on set card. Corrected using GPS waypoints."
"2020-07-18","P150",38,1,"10:37:00","10:47:00",120,10,4650.53,6443.27,4650.1,6443.18,NA,19,20,6,3,1,19,1,52,""
"2020-07-18","P150",39,1,"12:06:00","12:16:00",134,10,4648.42,6437.62,4648,6437.61,NA,19,20,6,3,1,19,1,52,""
"2020-07-18","P150",40,1,"12:59:00","13:09:00",111,10,4651.82,6434.41,4651.43,6434.58,NA,25,25,6,2,1,19,1,102,""
"2020-07-18","P150",41,1,"14:16:00","14:26:00",53,10,4659.7,6440.18,4600.13,6440.23,NA,18,18,6,2,4,19,1,52,""
"2020-07-18","P150",42,1,"15:50:00","16:00:00",72,10,4658.39,6429.21,4658.03,6428.87,NA,32,32,6,2,1,19,1,100,""
"2020-07-18","P150",43,1,"16:21:00","16:31:00",73,10,4658.06,6426.22,4657.65,6426.01,NA,36,36,6,2,1,19,1,100,""
"2020-07-18","P150",44,1,"17:13:00","17:23:00",102,10,4653.99,6420.23,4653.61,6420.57,436,23,24,6,2,1,19,1,78,""
"2020-07-19","P150",45,1,"06:50:00","07:00:00",90,10,4656,6417.3,4655.68,6417.79,436,25,25,6,1,1,19,1,75,""
"2020-07-19","P150",46,1,"11:34:00","11:49:00",192,15,4634.07,6426.12,4633.58,6425.58,NA,25,21,6,2,1,13,1,75,""
"2020-07-19","P150",47,1,"13:16:00","13:31:00",212,15,4630.14,6431.69,4629.67,6431.07,NA,9,9,6,2,1,13,1,50,""
"2020-07-19","P150",48,1,"14:50:00","15:05:00",203,15,4632.21,6429.3,4631.88,6428.5,NA,13,13,6,2,1,13,1,53,""
"2020-07-20","P150",49,1,"08:29:00","08:44:00",301,15,4616.02,6406.66,4616.09,6407.58,NA,11,12,6,6,1,13,1,50,""
"2020-07-20","P150",50,1,"09:43:00","09:58:00",258,15,4621.95,6405.28,4621.86,6404.41,433,8,7,6,6,1,13,1,27,""
"2020-07-21","P150",51,1,"07:42:00","07:57:00",282,15,4618.06,6417.36,4618.57,6417.84,NA,10,11,6,2,5,13,1,30,""
"2020-07-21","P150",52,1,"09:48:00","10:03:00",276,15,4620.02,6354.59,4620.14,6355.45,433,9,9,6,2,1,13,1,26,""
"2020-07-21","P150",53,1,"11:00:00","11:15:00",290,15,4618,6354.72,4618.13,6355.64,433,17,16,6,2,1,13,1,50,"A few rips on the wings of the trawl. Set still valid."
"2020-07-21","P150",54,1,"13:46:00","14:01:00",268,15,4619.97,6417.15,4619.48,6416.59,NA,13,13,8,2,1,13,1,50,""
"2020-07-22","P150",55,1,"08:17:00","08:32:00",224,15,4627.74,6425.58,4627.13,6425.25,433,11,11,8,3,1,13,1,30,""
"2020-07-22","P150",56,3,"11:34:00","11:52:00",141,18,4646.23,6445.36,4645.68,6444.89,NA,17,16,8,2,1,13,1,50,"Ripped netting in belly near footgear approx. 1x1m. Second time shooting here. Skipped."
"2020-07-22","P150",57,1,"14:44:00","14:59:00",53,15,4700.43,6440.23,4701.09,6440.24,NA,18,20,6,1,1,13,1,50,""
"2020-07-22","P150",58,1,"16:13:00","16:28:00",72,15,4657.85,6428.87,4657.21,6428.77,NA,33,33,6,1,1,13,1,100,""
"2020-07-22","P150",59,1,"16:57:00","17:12:00",73,15,4657.71,6426.13,4657.07,6425.97,NA,36,35,6,1,1,13,1,100,""
"2020-07-23","P150",60,1,"06:40:00","06:55:00",102,15,4654.43,6420.16,4655.06,6420.09,NA,24,25,6,2,1,13,1,75,""
"2020-07-23","P150",61,1,"07:25:00","07:40:00",90,15,4655.8,6417.63,4655.22,6417.91,NA,25,24,6,2,1,13,1,75,""
"2020-07-23","P150",62,1,"08:39:00","08:54:00",63,15,4659.79,6411.95,4659.21,6412.38,NA,28,27,6,2,1,13,1,100,""
"2020-07-23","P150",63,1,"10:15:00","10:25:00",63,10,4659.6,6411.99,4659.2,6412.18,436,28,26,6,2,1,19,1,100,"a skie on the starboard door broke."
"2020-07-24","P150",64,1,"08:07:00","08:17:00",268,10,4619.62,6416.05,4619.52,6415.46,NA,14,14,1,2,1,19,1,50,""
"2020-07-24","P150",65,1,"09:53:00","10:03:00",224,10,4627.75,6425.82,4628.08,6426.2,NA,10,11,1,2,1,19,1,50,""
"2020-07-24","P150",66,1,"11:49:00","11:59:00",203,10,4632.09,6328.83,4631.64,6428.47,NA,14,13,1,1,1,19,1,50,"Lobster trap in cod end. Set still valid; did not block."
"2020-07-24","P150",67,1,"14:15:00","14:25:00",192,10,4633.81,6426.21,4634.18,6426.56,NA,21,26,1,1,1,19,1,50,"PEI trap in cod end. Did not block; valid set."
"2020-07-25","P150",68,1,"07:37:00","07:47:00",282,10,4617.91,6417.28,4617.5,6417.04,NA,9,10,6,2,1,19,1,30,""
"2020-07-25","P150",69,1,"09:20:00","09:30:00",237,10,4626.94,6414.66,4626.56,6414.39,NA,13,11,6,1,1,19,1,50,""
"2020-07-25","P150",70,1,"11:30:00","11:40:00",217,10,4629.57,6416.82,4629.9,6417.19,NA,16,16,6,1,1,19,1,50,""
"2020-07-25","P150",71,1,"14:41:00","14:51:00",195,10,4633.64,6417.69,4633.82,6418.28,NA,9,9,6,1,1,19,1,30,""
"2020-07-29","P150",72,1,"08:42:00","08:52:00",239,10,4625.86,6409.12,4625.66,6409.65,433,7,8,0,0,1,19,1,40,""
"2020-07-29","P150",73,1,"10:43:00","10:53:00",198,10,4634.03,6408.82,4633.59,6408.85,433,4,4,2,2,1,19,1,31,""
"2020-07-29","P150",74,1,"14:13:00","14:28:00",195,15,4633.6,6417.12,4633.74,6418.01,NA,8,9,8,3,1,13,1,40,""
"2020-07-30","P150",75,1,"08:25:00","08:40:00",237,15,4629.3,6414.75,4625.81,6414.19,433,15,17,2,3,1,13,1,60,""
"2020-07-30","P150",76,1,"09:53:00","10:08:00",217,15,4630.2,6417.64,4629.67,6417.19,NA,17,16,2,3,1,13,1,60,""
"2020-07-30","P150",77,1,"12:39:00","12:54:00",198,15,4633.97,6409.07,4633.31,6408.96,433,4,5,6,3,1,13,1,35,""
"2020-07-30","P150",78,1,"14:14:00","14:29:00",239,15,4626.16,6409.06,4626.74,6409.42,433,6,8,5,3,1,13,1,36,""
"2020-07-31","P150",79,1,"08:50:00","09:00:00",999,10,4612.16,6403.35,4612.45,6403.84,NA,9,9,8,4,1,19,1,40,""
"2020-07-31","P150",80,1,"10:55:00","11:05:00",317,10,4614.16,6349.05,4613.94,6348.51,NA,17,23,8,3,1,19,1,62,""
"2020-07-31","P150",81,1,"13:10:00","13:20:00",335,10,4609.89,6329.12,4609.66,6329.67,433,5,6,8,3,1,19,1,36,""
"2020-07-31","P150",82,1,"14:15:00","14:25:00",358,10,4605.89,6331.9,4605.66,6332.4,NA,15,16,8,2,1,19,1,54,""
"2020-07-31","P150",83,1,"15:12:00","15:22:00",375,10,4603.89,6334.66,4604.13,6335.17,NA,14,14,8,3,1,19,1,53,""
"2020-07-31","P150",84,1,"17:25:00","17:35:00",429,10,4558.08,6346.01,4558.4,6345.62,NA,10,10,1,3,1,19,1,45,""
"2020-08-01","P150",85,1,"07:14:00","07:24:00",430,10,4557.88,6343.15,4558.26,6342.9,NA,12,12,2,3,1,19,1,45,""
"2020-08-01","P150",86,1,"08:18:00","08:28:00",372,10,4604.16,6342.86,4604.55,6342.49,NA,9,9,2,3,1,19,1,46,""
"2020-08-01","P150",87,1,"09:50:00","10:00:00",331,10,4610.08,6340.23,4610.53,6340.27,NA,17,17,1,4,1,19,1,60,""
"2020-08-01","P150",88,1,"11:47:00","11:57:00",327,10,4619.99,6337.55,4611.77,6337.04,433,8,6,1,4,1,19,1,40,""
"2020-08-01","P150",89,1,"13:30:00","13:40:00",318,10,4614.13,6346.08,4614.54,6346.3,NA,22,22,1,4,1,19,1,75,""
"2020-08-03","P150",90,1,"08:43:00","08:58:00",31,15,4611.96,6403.08,4612.01,6403.98,NA,8,8,5,5,1,13,1,40,""
"2020-08-03","P150",91,1,"10:18:00","10:33:00",317,15,4613.96,6348.68,4614.44,6349.33,NA,20,24,1,4,1,13,1,75,""
"2020-08-03","P150",92,1,"11:33:00","11:48:00",318,15,4614.1,6346.15,4613.49,6346.06,NA,23,24,5,5,1,13,1,80,""
"2020-08-03","P150",93,1,"15:00:00","15:15:00",372,15,4604.16,6343.02,4603.56,6343.7,NA,7,7,4,5,1,13,1,36,""
"2020-08-03","P150",95,1,"17:35:00","17:50:00",429,15,4557.85,6345.47,4558.16,6345.29,NA,9,9,5,4,1,13,1,40,""
"2020-08-04","P150",96,3,"07:05:00","07:13:00",430,8,4557.86,6343.4,4557.91,6343.86,NA,11,11,7,5,1,13,1,47,""
"2020-08-04","P150",97,1,"07:33:00","07:48:00",430,15,4558.02,6342.48,4558.09,6343.32,NA,11,11,7,5,1,13,1,48,""
"2020-08-04","P150",98,1,"08:54:00","09:09:00",375,15,4603.94,6334.34,4604.24,6334.13,NA,16,16,7,5,1,13,1,55,"Same station and gear as set 94. Re-done due to data glitch: can't see data from set."
"2020-08-04","P150",99,1,"09:45:00","10:00:00",358,15,4606.05,6331.79,4606.18,6331.68,NA,16,18,7,5,1,13,1,60,""
"2020-08-04","P150",100,1,"10:48:00","11:03:00",335,15,4609.96,6328.56,4609.87,6329.54,433,7,7,7,5,1,13,1,36,""
"2020-08-04","P150",101,1,"12:41:00","12:56:00",327,15,4611.97,6337.33,4611.36,6337.04,433,8,12,7,5,1,13,1,36,""
"2020-08-04","P150",102,1,"13:27:00","13:42:00",102,15,4609.95,6340.21,4609.44,6339.68,NA,18,18,7,4,1,13,1,66,""
"2020-08-05","P150",103,1,"08:28:00","08:43:00",285,15,4617.92,6407.65,4618.23,6408.42,NA,12,12,4,5,1,13,1,50,""
"2020-08-05","P150",104,1,"09:44:00","09:59:00",274,15,4619.92,6359.82,4620.18,640.69,433,7,7,4,5,1,13,1,36,""
"2020-08-05","P150",105,1,"11:15:00","11:30:00",306,15,4615.77,6351.37,4615.19,6351.95,433,22,27,5,5,1,13,1,76,"Longitude values on set card seem innaccurate. End longitude ~64DEG00.057MIN."
"2020-08-05","P150",106,1,"13:14:00","13:29:00",303,15,4615.96,6401.06,4615.84,6401.99,NA,16,16,4,6,1,13,1,55,""
"2020-08-06","P150",107,1,"08:22:00","08:32:00",107,10,4618.06,6408.08,4618.4,6408.38,NA,13,13,6,4,1,19,1,50,""
"2020-08-06","P150",108,1,"09:38:00","09:48:00",274,10,4620.02,6359.9,4620.05,6400.48,433,7,8,6,4,1,19,1,36,""
"2020-08-06","P150",109,1,"10:49:00","10:59:00",306,10,4615.93,6351.46,4616.21,6351.93,433,18,17,6,4,1,19,1,68,""
"2020-08-06","P150",110,1,"13:05:00","13:15:00",303,10,4616.15,6359.22,4616.37,6359.79,NA,17,NA,6,5,1,19,1,69,""
