date,tow.id,probe,type,location,position,event,time
2018-07-24,GP165A1,Star Oddi ,DST-Tilt,footrope,center,touchdown,18:05:34
2018-07-24,GP152F,Star Oddi ,DST-Tilt,footrope,center,touchdown,19:21:30
2018-07-24,GP153F,Star Oddi ,DST-Tilt,footrope,center,touchdown,20:48:27
2018-07-25,GP219F,Star Oddi ,DST-Tilt,footrope,center,touchdown,5:42:35
2018-07-31,GP240F,Star Oddi ,DST-Tilt,footrope,center,touchdown,5:26:25
2018-07-31,GP234F,Star Oddi ,DST-Tilt,footrope,center,touchdown,6:50:44
2018-07-31,GP220F,Star Oddi ,DST-Tilt,footrope,center,touchdown,10:49:53
2018-07-31,GP214F,Star Oddi ,DST-Tilt,footrope,center,touchdown,12:08:28
2018-07-31,GP192F,Star Oddi ,DST-Tilt,footrope,center,touchdown,13:31:10
2018-07-31,GP197F,Star Oddi ,DST-Tilt,footrope,center,touchdown,14:26:47
2018-07-31,GP189F,Star Oddi ,DST-Tilt,footrope,center,touchdown,15:16:06
2018-07-31,GP162F,Star Oddi ,DST-Tilt,footrope,center,touchdown,16:44:56
2018-07-31,GP170F,Star Oddi ,DST-Tilt,footrope,center,touchdown,18:00:09
2018-07-31,GP174A1,Star Oddi ,DST-Tilt,footrope,center,touchdown,20:51:20
2018-08-01,GP184F,Star Oddi ,DST-Tilt,footrope,center,touchdown,5:36:56
2018-08-01,GP159F,Star Oddi ,DST-Tilt,footrope,center,touchdown,7:04:17
2018-08-01,GP147F,Star Oddi ,DST-Tilt,footrope,center,touchdown,8:41:33
2018-08-01,GP149F,Star Oddi ,DST-Tilt,footrope,center,touchdown,9:46:02
2018-08-01,GP158F,Star Oddi ,DST-Tilt,footrope,center,touchdown,10:35:02
2018-08-01,GP176F,Star Oddi ,DST-Tilt,footrope,center,touchdown,11:43:04
2018-08-01,GP179F,Star Oddi ,DST-Tilt,footrope,center,touchdown,12:37:27
2018-08-01,GP191A1,Star Oddi ,DST-Tilt,footrope,center,touchdown,14:42:03
2018-08-01,GP177F,Star Oddi ,DST-Tilt,footrope,center,touchdown,16:03:42
2018-08-01,GP163F,Star Oddi ,DST-Tilt,footrope,center,touchdown,17:29:16
2018-08-01,GP164F,Star Oddi ,DST-Tilt,footrope,center,touchdown,18:32:44
2018-08-01,GP151F,Star Oddi ,DST-Tilt,footrope,center,touchdown,19:41:23
2018-08-02,GP154F,Star Oddi ,DST-Tilt,footrope,center,touchdown,5:45:10
2018-08-02,GP133F,Star Oddi ,DST-Tilt,footrope,center,touchdown,6:45:48
2018-08-02,GP141F,Star Oddi ,DST-Tilt,footrope,center,touchdown,7:35:58
2018-08-02,GP128A2,Star Oddi ,DST-Tilt,footrope,center,touchdown,17:16:05
2018-08-02,GP123A1,Star Oddi ,DST-Tilt,footrope,center,touchdown,19:23:46
2018-08-02,GP099F,Star Oddi ,DST-Tilt,footrope,center,touchdown,20:38:24
2018-08-03,GP094F,Star Oddi ,DST-Tilt,footrope,center,touchdown,5:38:37
2018-08-03,GP113F,Star Oddi ,DST-Tilt,footrope,center,touchdown,7:19:28
2018-08-03,GP127F,Star Oddi ,DST-Tilt,footrope,center,touchdown,8:26:24
2018-08-03,GP124F,Star Oddi ,DST-Tilt,footrope,center,touchdown,15:22:17
2018-08-03,GP105F,Star Oddi ,DST-Tilt,footrope,center,touchdown,16:18:49
2018-08-03,GP106F,Star Oddi ,DST-Tilt,footrope,center,touchdown,17:31:37
2018-08-03,GP125F,Star Oddi ,DST-Tilt,footrope,center,touchdown,18:29:06
2018-08-04,GP084A1,Star Oddi ,DST-Tilt,footrope,center,touchdown,5:45:34
2018-08-04,GP077F,Star Oddi ,DST-Tilt,footrope,center,touchdown,7:05:12
2018-08-04,GP068F,Star Oddi ,DST-Tilt,footrope,center,touchdown,8:31:33
2018-08-04,GP088F,Star Oddi ,DST-Tilt,footrope,center,touchdown,9:45:50
2018-08-04,GP080F,Star Oddi ,DST-Tilt,footrope,center,touchdown,11:02:57
2018-08-04,GP076F,Star Oddi ,DST-Tilt,footrope,center,touchdown,12:21:36
2018-08-04,GP061F,Star Oddi ,DST-Tilt,footrope,center,touchdown,13:23:46
2018-08-04,GP049F,Star Oddi ,DST-Tilt,footrope,center,touchdown,14:22:57
2018-08-04,GP046F,Star Oddi ,DST-Tilt,footrope,center,touchdown,16:07:05
2018-08-04,GP036F,Star Oddi ,DST-Tilt,footrope,center,touchdown,17:32:26
2018-08-04,GP026F,Star Oddi ,DST-Tilt,footrope,center,touchdown,18:55:20
2018-08-04,GP024F,Star Oddi ,DST-Tilt,footrope,center,touchdown,20:11:07
2018-08-05,GP025F,Star Oddi ,DST-Tilt,footrope,center,touchdown,5:58:24
2018-08-05,GP044F,Star Oddi ,DST-Tilt,footrope,center,touchdown,7:31:32
2018-08-05,GP023F,Star Oddi ,DST-Tilt,footrope,center,touchdown,9:08:07
2018-08-05,GP016F,Star Oddi ,DST-Tilt,footrope,center,touchdown,10:33:10
2018-08-05,GP019F,Star Oddi ,DST-Tilt,footrope,center,touchdown,12:13:54
2018-08-05,GP018F,Star Oddi ,DST-Tilt,footrope,center,touchdown,13:15:24
2018-08-05,GP028F,Star Oddi ,DST-Tilt,footrope,center,touchdown,14:55:39
2018-08-05,GP032F,Star Oddi ,DST-Tilt,footrope,center,touchdown,15:44:28
2018-08-05,GP050F,Star Oddi ,DST-Tilt,footrope,center,touchdown,17:36:09
2018-08-05,GP048F,Star Oddi ,DST-Tilt,footrope,center,touchdown,18:45:52
2018-08-05,GP067F,Star Oddi ,DST-Tilt,footrope,center,touchdown,19:56:12
2018-08-06,GP066F,Star Oddi ,DST-Tilt,footrope,center,touchdown,5:45:11
2018-08-06,GP070F,Star Oddi ,DST-Tilt,footrope,center,touchdown,7:03:22
2018-08-06,GP063F,Star Oddi ,DST-Tilt,footrope,center,touchdown,8:05:34
2018-08-06,GP047A1,Star Oddi ,DST-Tilt,footrope,center,touchdown,10:37:41
2018-08-06,GP022F,Star Oddi ,DST-Tilt,footrope,center,touchdown,12:01:11
2018-08-06,GP030F,Star Oddi ,DST-Tilt,footrope,center,touchdown,12:57:40
2018-08-06,GP040F,Star Oddi ,DST-Tilt,footrope,center,touchdown,14:02:00
2018-08-06,GP042F,Star Oddi ,DST-Tilt,footrope,center,touchdown,15:12:38
2018-08-06,GP052F,Star Oddi ,DST-Tilt,footrope,center,touchdown,16:13:54
2018-08-06,GP051F,Star Oddi ,DST-Tilt,footrope,center,touchdown,17:15:13
2018-08-06,GP041F,Star Oddi ,DST-Tilt,footrope,center,touchdown,18:32:40
2018-08-06,GP031A1,Star Oddi ,DST-Tilt,footrope,center,touchdown,20:22:07
2018-08-07,GP039F,Star Oddi ,DST-Tilt,footrope,center,touchdown,5:56:54
2018-08-07,GP045F,Star Oddi ,DST-Tilt,footrope,center,touchdown,6:52:47
2018-08-07,GP069F,Star Oddi ,DST-Tilt,footrope,center,touchdown,8:45:52
2018-08-07,GP092A1,Star Oddi ,DST-Tilt,footrope,center,touchdown,11:00:09
2018-08-07,GP095F,Star Oddi ,DST-Tilt,footrope,center,touchdown,12:17:59
2018-08-07,GP111F,Star Oddi ,DST-Tilt,footrope,center,touchdown,13:31:27
2018-08-07,GP110F,Star Oddi ,DST-Tilt,footrope,center,touchdown,14:23:07
2018-08-07,GP100F,Star Oddi ,DST-Tilt,footrope,center,touchdown,16:09:58
2018-08-07,GP087F,Star Oddi ,DST-Tilt,footrope,center,touchdown,17:09:35
2018-08-07,GP062F,Star Oddi ,DST-Tilt,footrope,center,touchdown,18:53:36
2018-08-07,GP053F,Star Oddi ,DST-Tilt,footrope,center,touchdown,20:26:55
2018-08-08,GP043A2,Star Oddi ,DST-Tilt,footrope,center,touchdown,7:29:18
2018-08-08,GP015F,Star Oddi ,DST-Tilt,footrope,center,touchdown,9:54:11
2018-08-13,GP009F,Star Oddi ,DST-Tilt,footrope,center,touchdown,15:28:14
2018-08-13,GP008F,Star Oddi ,DST-Tilt,footrope,center,touchdown,16:30:36
2018-08-13,GP006F,Star Oddi ,DST-Tilt,footrope,center,touchdown,17:20:56
2018-08-13,GP002F,Star Oddi ,DST-Tilt,footrope,center,touchdown,20:00:36
2018-08-14,GP001F,Star Oddi ,DST-Tilt,footrope,center,touchdown,6:01:11
2018-08-14,GP003F,Star Oddi ,DST-Tilt,footrope,center,touchdown,7:32:12
2018-08-14,GP004F,Star Oddi ,DST-Tilt,footrope,center,touchdown,8:30:08
2018-08-14,GP005F,Star Oddi ,DST-Tilt,footrope,center,touchdown,10:14:14
2018-08-14,GP007F,Star Oddi ,DST-Tilt,footrope,center,touchdown,11:40:48
2018-08-14,GP011F,Star Oddi ,DST-Tilt,footrope,center,touchdown,12:55:57
2018-08-14,GP010F,Star Oddi ,DST-Tilt,footrope,center,touchdown,14:16:22
2018-08-14,GP012F,Star Oddi ,DST-Tilt,footrope,center,touchdown,16:01:21
2018-08-14,GP013F,Star Oddi ,DST-Tilt,footrope,center,touchdown,18:06:34
2018-08-14,GP017F,Star Oddi ,DST-Tilt,footrope,center,touchdown,19:48:19
2018-08-15,GP014F,Star Oddi ,DST-Tilt,footrope,center,touchdown,6:24:22
2018-08-15,GP020F,Star Oddi ,DST-Tilt,footrope,center,touchdown,7:47:24
2018-08-15,GP021F,Star Oddi ,DST-Tilt,footrope,center,touchdown,8:36:40
2018-08-15,GP037F,Star Oddi ,DST-Tilt,footrope,center,touchdown,10:18:35
2018-08-15,GP055F,Star Oddi ,DST-Tilt,footrope,center,touchdown,11:26:02
2018-08-15,GP029F,Star Oddi ,DST-Tilt,footrope,center,touchdown,12:45:08
2018-08-15,GP058F,Star Oddi ,DST-Tilt,footrope,center,touchdown,14:16:56
2018-08-15,GP059F,Star Oddi ,DST-Tilt,footrope,center,touchdown,15:57:45
2018-08-15,GP034F,Star Oddi ,DST-Tilt,footrope,center,touchdown,18:12:06
2018-08-16,GP027F,Star Oddi ,DST-Tilt,footrope,center,touchdown,6:00:57
2018-08-16,GP033F,Star Oddi ,DST-Tilt,footrope,center,touchdown,7:19:09
2018-08-16,GP038F,Star Oddi ,DST-Tilt,footrope,center,touchdown,8:53:04
2018-08-16,GP035F,Star Oddi ,DST-Tilt,footrope,center,touchdown,10:37:04
2018-08-16,GP054F,Star Oddi ,DST-Tilt,footrope,center,touchdown,11:52:42
2018-08-16,GP064F,Star Oddi ,DST-Tilt,footrope,center,touchdown,13:33:15
2018-08-16,GP078F,Star Oddi ,DST-Tilt,footrope,center,touchdown,15:17:48
2018-08-16,GP056F,Star Oddi ,DST-Tilt,footrope,center,touchdown,17:32:06
2018-08-16,GP057F,Star Oddi ,DST-Tilt,footrope,center,touchdown,18:41:02
2018-08-17,GP107F,Star Oddi ,DST-Tilt,footrope,center,touchdown,6:06:15
2018-08-17,GP096A1,Star Oddi ,DST-Tilt,footrope,center,touchdown,8:39:43
2018-08-17,GP083F,Star Oddi ,DST-Tilt,footrope,center,touchdown,10:46:17
2018-08-17,GP074A1,Star Oddi ,DST-Tilt,footrope,center,touchdown,12:39:34
2018-08-17,GP065F,Star Oddi ,DST-Tilt,footrope,center,touchdown,14:27:40
2018-08-17,GP073F,Star Oddi ,DST-Tilt,footrope,center,touchdown,15:59:09
2018-08-17,GP086F,Star Oddi ,DST-Tilt,footrope,center,touchdown,17:12:31
2018-08-17,GP103F,Star Oddi ,DST-Tilt,footrope,center,touchdown,18:31:01
2018-08-17,GP089F,Star Oddi ,DST-Tilt,footrope,center,touchdown,19:49:15
2018-08-18,GP075A1,Star Oddi ,DST-Tilt,footrope,center,touchdown,6:14:30
2018-08-18,GP071A1,Star Oddi ,DST-Tilt,footrope,center,touchdown,9:11:13
2018-08-18,GP060A1,Star Oddi ,DST-Tilt,footrope,center,touchdown,11:55:10
2018-08-18,GP082F,Star Oddi ,DST-Tilt,footrope,center,touchdown,13:06:36
2018-08-18,GP101F,Star Oddi ,DST-Tilt,footrope,center,touchdown,14:32:43
2018-08-18,GP114F,Star Oddi ,DST-Tilt,footrope,center,touchdown,15:39:01
2018-08-18,GP126F,Star Oddi ,DST-Tilt,footrope,center,touchdown,16:46:45
2018-08-18,GP118F,Star Oddi ,DST-Tilt,footrope,center,touchdown,18:05:50
2018-08-18,GP143F,Star Oddi ,DST-Tilt,footrope,center,touchdown,19:30:59
2018-08-19,GP157F,Star Oddi ,DST-Tilt,footrope,center,touchdown,6:02:39
2018-08-19,GP169F,Star Oddi ,DST-Tilt,footrope,center,touchdown,7:28:33
2018-08-19,GP180F,Star Oddi ,DST-Tilt,footrope,center,touchdown,8:53:34
2018-08-19,GP185F,Star Oddi ,DST-Tilt,footrope,center,touchdown,9:47:25
2018-08-19,GP172F,Star Oddi ,DST-Tilt,footrope,center,touchdown,11:25:06
2018-08-19,GP183F,Star Oddi ,DST-Tilt,footrope,center,touchdown,12:37:02
2018-08-19,GP193F,Star Oddi ,DST-Tilt,footrope,center,touchdown,14:00:36
2018-08-19,GP209F,Star Oddi ,DST-Tilt,footrope,center,touchdown,15:21:13
2018-08-19,GP204F,Star Oddi ,DST-Tilt,footrope,center,touchdown,16:25:56
2018-08-19,GP218F,Star Oddi ,DST-Tilt,footrope,center,touchdown,17:57:46
2018-08-19,GP200F,Star Oddi ,DST-Tilt,footrope,center,touchdown,19:04:26
2018-08-19,GP207F,Star Oddi ,DST-Tilt,footrope,center,touchdown,20:09:49
2018-08-20,GP227F,Star Oddi ,DST-Tilt,footrope,center,touchdown,7:05:34
2018-08-20,GP230F,Star Oddi ,DST-Tilt,footrope,center,touchdown,7:50:40
2018-08-20,GP236A1,Star Oddi ,DST-Tilt,footrope,center,touchdown,10:26:21
2018-08-20,GP243F,Star Oddi ,DST-Tilt,footrope,center,touchdown,12:07:19
2018-08-20,GP249F,Star Oddi ,DST-Tilt,footrope,center,touchdown,12:48:24
2018-08-20,GP261F,Star Oddi ,DST-Tilt,footrope,center,touchdown,13:37:22
2018-08-20,GP257F,Star Oddi ,DST-Tilt,footrope,center,touchdown,14:37:33
2018-08-20,GP247F,Star Oddi ,DST-Tilt,footrope,center,touchdown,16:09:45
2018-08-20,GP258F,Star Oddi ,DST-Tilt,footrope,center,touchdown,16:49:08
2018-08-20,GP281F,Star Oddi ,DST-Tilt,footrope,center,touchdown,17:59:09
2018-08-20,GP278F,Star Oddi ,DST-Tilt,footrope,center,touchdown,19:00:22
2018-08-20,GP287F,Star Oddi ,DST-Tilt,footrope,center,touchdown,20:12:35
2018-08-21,GP303F,Star Oddi ,DST-Tilt,footrope,center,touchdown,6:02:15
2018-08-21,GP300F,Star Oddi ,DST-Tilt,footrope,center,touchdown,6:54:55
2018-08-25,GP190F,Star Oddi ,DST-Tilt,footrope,center,touchdown,6:14:27
2018-08-25,GP196F,Star Oddi ,DST-Tilt,footrope,center,touchdown,7:32:18
2018-08-25,GP188F,Star Oddi ,DST-Tilt,footrope,center,touchdown,8:29:22
2018-08-25,GP161F,Star Oddi ,DST-Tilt,footrope,center,touchdown,10:11:15
2018-08-25,GP160F,Star Oddi ,DST-Tilt,footrope,center,touchdown,11:44:34
2018-08-25,GP146F,Star Oddi ,DST-Tilt,footrope,center,touchdown,13:12:27
2018-08-25,GP116F,Star Oddi ,DST-Tilt,footrope,center,touchdown,14:18:08
2018-08-25,GP140F,Star Oddi ,DST-Tilt,footrope,center,touchdown,15:51:47
2018-08-25,GP117F,Star Oddi ,DST-Tilt,footrope,center,touchdown,18:14:36
2018-08-25,GP097F,Star Oddi ,DST-Tilt,footrope,center,touchdown,19:39:01
2018-08-26,GP090F,Star Oddi ,DST-Tilt,footrope,center,touchdown,6:16:02
2018-08-26,GP079F,Star Oddi ,DST-Tilt,footrope,center,touchdown,7:16:07
2018-08-26,GP104F,Star Oddi ,DST-Tilt,footrope,center,touchdown,8:20:37
2018-08-26,GP108F,Star Oddi ,DST-Tilt,footrope,center,touchdown,9:49:22
2018-08-26,GP091F,Star Oddi ,DST-Tilt,footrope,center,touchdown,11:14:34
2018-08-26,GP093F,Star Oddi ,DST-Tilt,footrope,center,touchdown,12:22:43
2018-08-26,GP102F,Star Oddi ,DST-Tilt,footrope,center,touchdown,13:41:37
2018-08-26,GP119F,Star Oddi ,DST-Tilt,footrope,center,touchdown,14:52:55
2018-08-26,GP132F,Star Oddi ,DST-Tilt,footrope,center,touchdown,15:56:22
2018-08-26,GP148F,Star Oddi ,DST-Tilt,footrope,center,touchdown,17:17:17
2018-08-26,GP137F,Star Oddi ,DST-Tilt,footrope,center,touchdown,18:58:26
2018-08-27,GP173F,Star Oddi ,DST-Tilt,footrope,center,touchdown,6:14:45
2018-08-27,GP171F,Star Oddi ,DST-Tilt,footrope,center,touchdown,7:01:24
2018-08-27,GP155F,Star Oddi ,DST-Tilt,footrope,center,touchdown,8:14:02
2018-08-27,GP145F,Star Oddi ,DST-Tilt,footrope,center,touchdown,9:27:22
2018-08-27,GP131F,Star Oddi ,DST-Tilt,footrope,center,touchdown,10:45:44
2018-08-27,GP135F,Star Oddi ,DST-Tilt,footrope,center,touchdown,11:36:51
2018-08-27,GP136F,Star Oddi ,DST-Tilt,footrope,center,touchdown,12:39:29
2018-08-27,GP129F,Star Oddi ,DST-Tilt,footrope,center,touchdown,13:35:59
2018-08-27,GP144F,Star Oddi ,DST-Tilt,footrope,center,touchdown,14:36:00
2018-08-27,GP168F,Star Oddi ,DST-Tilt,footrope,center,touchdown,16:15:32
2018-08-27,GP178F,Star Oddi ,DST-Tilt,footrope,center,touchdown,17:17:43
2018-08-27,GP175F,Star Oddi ,DST-Tilt,footrope,center,touchdown,18:16:39
2018-08-27,GP195F,Star Oddi ,DST-Tilt,footrope,center,touchdown,19:32:45
2018-08-28,GP216F,Star Oddi ,DST-Tilt,footrope,center,touchdown,6:16:08
2018-08-28,GP223F,Star Oddi ,DST-Tilt,footrope,center,touchdown,7:16:13
2018-08-28,GP228F,Star Oddi ,DST-Tilt,footrope,center,touchdown,8:31:39
2018-08-28,GP242F,Star Oddi ,DST-Tilt,footrope,center,touchdown,10:11:26
2018-08-28,GP253F,Star Oddi ,DST-Tilt,footrope,center,touchdown,10:45:57
2018-08-28,GP239F,Star Oddi ,DST-Tilt,footrope,center,touchdown,12:00:17
2018-08-28,GP224F,Star Oddi ,DST-Tilt,footrope,center,touchdown,13:11:59
2018-08-28,GP222F,Star Oddi ,DST-Tilt,footrope,center,touchdown,14:37:30
2018-08-28,GP211F,Star Oddi ,DST-Tilt,footrope,center,touchdown,15:50:14
2018-08-28,GP212F,Star Oddi ,DST-Tilt,footrope,center,touchdown,17:51:28
2018-09-01,GP213F,Star Oddi ,DST-Tilt,footrope,center,touchdown,6:15:45
2018-09-01,GP205F,Star Oddi ,DST-Tilt,footrope,center,touchdown,7:02:13
2018-09-01,GP194F,Star Oddi ,DST-Tilt,footrope,center,touchdown,8:23:58
2018-09-01,GP186F,Star Oddi ,DST-Tilt,footrope,center,touchdown,9:17:46
2018-09-01,GP167A1,Star Oddi ,DST-Tilt,footrope,center,touchdown,11:59:30
2018-09-01,GP182F,Star Oddi ,DST-Tilt,footrope,center,touchdown,13:37:55
2018-09-01,GP199F,Star Oddi ,DST-Tilt,footrope,center,touchdown,14:58:16
2018-09-02,GP267F,Star Oddi ,DST-Tilt,footrope,center,touchdown,6:57:06
2018-09-02,GP256F,Star Oddi ,DST-Tilt,footrope,center,touchdown,8:32:07
2018-09-02,GP254F,Star Oddi ,DST-Tilt,footrope,center,touchdown,9:30:48
2018-09-02,GP241F,Star Oddi ,DST-Tilt,footrope,center,touchdown,11:01:40
2018-09-02,GP231F,Star Oddi ,DST-Tilt,footrope,center,touchdown,12:25:49
2018-09-02,GP238F,Star Oddi ,DST-Tilt,footrope,center,touchdown,13:45:30
2018-09-02,GP262F,Star Oddi ,DST-Tilt,footrope,center,touchdown,15:24:31
2018-09-02,GP264F,Star Oddi ,DST-Tilt,footrope,center,touchdown,16:04:25
2018-09-02,GP271F,Star Oddi ,DST-Tilt,footrope,center,touchdown,17:45:44
2018-09-02,GP270F,Star Oddi ,DST-Tilt,footrope,center,touchdown,18:49:20
2018-09-02,GP266F,Star Oddi ,DST-Tilt,footrope,center,touchdown,19:41:35
2018-09-03,GP277F,Star Oddi ,DST-Tilt,footrope,center,touchdown,6:19:06
2018-09-03,GP276A1,Star Oddi ,DST-Tilt,footrope,center,touchdown,8:51:56
2018-09-03,GP284F,Star Oddi ,DST-Tilt,footrope,center,touchdown,10:08:27
2018-09-03,GP294F,Star Oddi ,DST-Tilt,footrope,center,touchdown,11:26:18
2018-09-03,GP301F,Star Oddi ,DST-Tilt,footrope,center,touchdown,12:35:16
2018-09-03,GP280F,Star Oddi ,DST-Tilt,footrope,center,touchdown,14:42:48
2018-09-03,GP272F,Star Oddi ,DST-Tilt,footrope,center,touchdown,16:12:06
2018-09-03,GP289F,Star Oddi ,DST-Tilt,footrope,center,touchdown,18:06:10
2018-09-03,GP298F,Star Oddi ,DST-Tilt,footrope,center,touchdown,19:00:07
2018-09-07,GP292F,Star Oddi ,DST-Tilt,footrope,center,touchdown,6:42:46
2018-09-07,GP286F,Star Oddi ,DST-Tilt,footrope,center,touchdown,8:08:32
2018-09-07,GP268F,Star Oddi ,DST-Tilt,footrope,center,touchdown,11:42:19
2018-09-07,GP259F,Star Oddi ,DST-Tilt,footrope,center,touchdown,12:35:44
2018-09-07,GP248F,Star Oddi ,DST-Tilt,footrope,center,touchdown,13:41:49
2018-09-07,GP263F,Star Oddi ,DST-Tilt,footrope,center,touchdown,14:51:32
2018-09-07,GP245F,Star Oddi ,DST-Tilt,footrope,center,touchdown,16:01:27
2018-09-07,GP233A2,Star Oddi ,DST-Tilt,footrope,center,touchdown,18:55:31
2018-09-08,GP206A2,Star Oddi ,DST-Tilt,footrope,center,touchdown,8:51:23
2018-09-10,GP202A1,Star Oddi ,DST-Tilt,footrope,center,touchdown,7:46:58
2018-09-10,GP198A1,Star Oddi ,DST-Tilt,footrope,center,touchdown,9:45:44
2018-09-10,GP215A2,Star Oddi ,DST-Tilt,footrope,center,touchdown,12:54:01
2018-09-10,GP229A1,Star Oddi ,DST-Tilt,footrope,center,touchdown,15:46:52
2018-09-10,GP225A1,Star Oddi ,DST-Tilt,footrope,center,touchdown,18:22:09
2018-09-11,GP210A2,Star Oddi ,DST-Tilt,footrope,center,touchdown,8:47:19
2018-09-11,GP221A1,Star Oddi ,DST-Tilt,footrope,center,touchdown,11:20:22
2018-09-11,GP232F,Star Oddi ,DST-Tilt,footrope,center,touchdown,13:06:29
2018-09-12,GP255F,Star Oddi ,DST-Tilt,footrope,center,touchdown,7:10:57
2018-09-12,GP244F,Star Oddi ,DST-Tilt,footrope,center,touchdown,12:41:15
2018-09-12,GP246F,Star Oddi ,DST-Tilt,footrope,center,touchdown,13:33:01
2018-09-12,GP252F,Star Oddi ,DST-Tilt,footrope,center,touchdown,15:12:14
2018-09-12,GP275F,Star Oddi ,DST-Tilt,footrope,center,touchdown,16:30:32
2018-09-12,GP279F,Star Oddi ,DST-Tilt,footrope,center,touchdown,17:39:48
2018-09-12,GP285F,Star Oddi ,DST-Tilt,footrope,center,touchdown,18:51:48
