"date","cruise","set.number","species","size.class","weight.caught","weight.sampled","number.basket","comment"
"2020-07-08","P150",5,8614,1,0.024,0,1,""
"2020-07-08","P150",5,8623,1,0.158,0,1,""
"2020-07-08","P150",6,10,1,0.291,0.291,1,"Observations Completed."
"2020-07-08","P150",6,30,1,30.2,30.2,1,"Observations Completed."
"2020-07-08","P150",6,43,1,3.12,3.12,1,"Observations Completed."
"2020-07-08","P150",6,63,1,1.3,1.3,1,"Observations Completed."
"2020-07-08","P150",6,122,1,1.697,1.697,1,"Observations Completed."
"2020-07-08","P150",6,251,1,0.214,0.214,1,"Observations Completed."
"2020-07-08","P150",6,300,1,0.044,0.044,1,"Observations Completed."
"2020-07-08","P150",6,599,1,0.55,0.55,2,"Observations Completed."
"2020-07-08","P150",6,1827,1,0.015,0,1,""
"2020-07-08","P150",6,1900,1,0.001,0,1,""
"2020-07-08","P150",6,2513,1,0.852,0.852,1,"Observations Completed."
"2020-07-08","P150",6,2521,1,0.01,0.01,1,"Observations Completed."
"2020-07-08","P150",6,2527,1,0.012,0.012,1,"Observations Completed."
"2020-07-08","P150",6,2550,1,21.17,21.17,2,"Observations Completed."
"2020-07-08","P150",6,2990,1,0.056,0,1,""
"2020-07-08","P150",6,3100,1,0.002,0,1,""
"2020-07-08","P150",6,4332,1,0.141,0,1,""
"2020-07-08","P150",6,4340,1,0.035,0,1,""
"2020-07-08","P150",6,6119,1,0.005,0,1,""
"2020-07-08","P150",6,8300,1,0.102,0,1,""
"2020-07-08","P150",6,8500,1,2.487,0,1,""
"2020-07-08","P150",6,8611,1,0.002,0,1,""
"2020-07-08","P150",7,17,1,0.33,0.33,1,"Observations Completed."
"2020-07-08","P150",7,43,1,3.252,3.252,1,"Observations Completed."
"2020-07-08","P150",7,62,1,0.11,0.11,1,"Observations Completed."
"2020-07-08","P150",7,63,1,1.34,1.34,1,"Observations Completed."
"2020-07-08","P150",7,70,1,8.23,8.23,1,"Observations Completed."
"2020-07-08","P150",7,122,1,2.756,2.756,1,"Observations Completed."
"2020-07-08","P150",7,204,1,2.076,2.076,1,"Observations Completed."
"2020-07-08","P150",7,300,1,0.23,0.23,1,"Observations Completed."
"2020-07-08","P150",7,320,1,0.34,0.34,1,"Observations Completed."
"2020-07-08","P150",7,2550,1,44.459,44.459,4,"Observations Completed."
"2020-07-08","P150",7,2990,1,0.04,0,1,""
"2020-07-08","P150",7,6119,1,0.008,0,1,""
"2020-07-08","P150",7,6212,1,0.002,0,1,""
"2020-07-08","P150",7,8500,1,1.396,0,1,""
"2020-07-08","P150",7,8611,1,0.006,0,1,""
"2020-07-08","P150",7,8623,1,1.014,0,1,""
"2020-07-08","P150",7,8632,1,0.142,0,1,""
"2020-07-09","P150",8,42,1,1.36,1.36,1,"Observations Completed."
"2020-07-09","P150",8,43,1,14.76,14.76,1,"Observations Completed."
"2020-07-09","P150",8,62,1,0.304,0.304,1,"Observations Completed."
"2020-07-09","P150",8,63,1,1.48,1.48,2,"Observations Completed."
"2020-07-09","P150",8,70,1,25.05,25.05,1,"Observations Completed."
"2020-07-09","P150",8,122,1,0.05,0.05,1,"Observations Completed."
"2020-07-09","P150",8,143,1,2.61,2.61,1,"Observations Completed."
"2020-07-09","P150",8,204,1,13.4,13.4,1,"Observations Completed."
"2020-07-09","P150",8,300,1,0.456,0.456,1,"Observations Completed."
"2020-07-09","P150",8,2513,1,0.195,0.195,1,"Observations Completed."
"2020-07-09","P150",8,2550,1,130.07,48.56,8,"Observations Completed."
"2020-07-09","P150",8,4348,1,0.1,0,1,""
"2020-07-09","P150",8,8500,1,0.205,0,1,""
"2020-07-09","P150",8,8632,1,0.019,0,1,""
"2020-07-09","P150",9,17,1,1.02,1.02,1,"Observations Completed."
"2020-07-09","P150",9,43,1,4.2,4.2,1,"Observations Completed."
"2020-07-09","P150",9,61,1,2.09,2.09,1,"Observations Completed."
"2020-07-09","P150",9,63,1,0.227,0.227,1,"Observations Completed."
"2020-07-09","P150",9,122,1,5.2,5.2,1,"Observations Completed."
"2020-07-09","P150",9,204,1,0.8,0.8,1,"Observations Completed."
"2020-07-09","P150",9,640,1,0.098,0.098,1,"Observations Completed."
"2020-07-09","P150",9,2550,1,38.76,38.76,2,"Observations Completed."
"2020-07-09","P150",9,2990,1,0.057,0,1,""
"2020-07-09","P150",9,4348,1,0.04,0,1,""
"2020-07-09","P150",9,6119,1,0.016,0,1,""
"2020-07-09","P150",9,6200,1,0.001,0,1,""
"2020-07-09","P150",9,8300,1,0.04,0,1,""
"2020-07-09","P150",9,8500,1,2.009,0,1,""
"2020-07-09","P150",9,8611,1,0.013,0,1,""
"2020-07-09","P150",9,8623,1,0.48,0,1,""
"2020-07-09","P150",9,8632,1,0.136,0,1,""
"2020-07-09","P150",10,10,1,0.063,0.063,1,"Observations Completed."
"2020-07-09","P150",10,40,1,0.024,0.024,1,"Observations Completed."
"2020-07-09","P150",10,42,1,4.86,4.86,1,"Observations Completed."
"2020-07-09","P150",10,43,1,1.62,1.62,1,"Observations Completed."
"2020-07-09","P150",10,63,1,0.005,0.005,1,"Observations Completed."
"2020-07-09","P150",10,300,1,0.387,0.387,1,"Observations Completed."
"2020-07-09","P150",10,320,1,0.122,0.122,1,"Observations Completed."
"2020-07-09","P150",10,599,1,7.188,7.188,2,"Observations Completed."
"2020-07-09","P150",10,1511,1,0.031,0,1,""
"2020-07-09","P150",10,2212,1,0.001,0,1,""
"2020-07-09","P150",10,2513,1,0.712,0.712,1,"Observations Completed."
"2020-07-09","P150",10,2550,1,25.93,25.93,2,"Observations Completed."
"2020-07-09","P150",10,8500,1,0.421,0,1,""
"2020-07-09","P150",10,8632,1,0.02,0,1,""
"2020-07-09","P150",11,10,1,0.562,0.562,2,"Observations Completed."
"2020-07-09","P150",11,42,1,0.145,0.145,1,"Observations Completed."
"2020-07-09","P150",11,43,1,23.95,10.48,3,"Observations Completed."
"2020-07-09","P150",11,63,1,3.1,3.1,1,"Observations Completed."
"2020-07-09","P150",11,122,1,3.56,3.56,1,"Observations Completed."
"2020-07-09","P150",11,251,1,0.257,0.257,2,"Observations Completed."
"2020-07-09","P150",11,2513,1,0.128,0.128,1,"Observations Completed."
"2020-07-09","P150",11,2550,1,136.42,50.54,8,"Observations Completed."
"2020-07-09","P150",11,4332,1,0.042,0,1,""
"2020-07-09","P150",11,4348,1,0.138,0,1,""
"2020-07-09","P150",11,8300,1,0.042,0,1,""
"2020-07-09","P150",11,8500,1,0.087,0,1,""
"2020-07-09","P150",11,8611,1,0.009,0,1,""
"2020-07-09","P150",11,8623,1,0.177,0,1,""
"2020-07-10","P150",12,42,1,0.274,0.274,1,"Observations Completed."
"2020-07-10","P150",12,43,1,6.82,6.82,1,"Observations Completed."
"2020-07-10","P150",12,63,1,0.335,0.335,1,"Observations Completed."
"2020-07-10","P150",12,70,1,4.07,4.07,1,"Observations Completed."
"2020-07-10","P150",12,122,1,0.08,0.08,1,"Observations Completed."
"2020-07-10","P150",12,143,1,0.595,0.595,1,"Observations Completed."
"2020-07-10","P150",12,204,1,1.56,1.56,1,"Observations Completed."
"2020-07-10","P150",12,2550,1,162.68,66.63,8,"Observations Completed."
"2020-07-10","P150",12,8638,1,0.223,0,1,""
"2020-07-10","P150",13,10,1,0.537,0.537,1,"Observations Completed."
"2020-07-10","P150",13,42,1,0.049,0.049,1,"Observations Completed."
"2020-07-10","P150",13,43,1,1.74,1.74,1,"Observations Completed."
"2020-07-10","P150",13,63,1,2.085,2.085,2,"Observations Completed."
"2020-07-10","P150",13,251,1,0.152,0.152,1,"Observations Completed. Specimens kept for ID."
"2020-07-10","P150",13,2550,1,50.29,50.29,3,"Observations Completed."
"2020-07-10","P150",13,8500,1,3.24,0,1,""
"2020-07-10","P150",13,8621,1,0.556,0,1,""
"2020-07-10","P150",14,40,1,0.087,0.087,1,"Observations Completed."
"2020-07-10","P150",14,42,1,1.003,1.003,1,"Observations Completed."
"2020-07-10","P150",14,43,1,0.207,0.207,1,"Observations Completed."
"2020-07-10","P150",14,251,1,0.002,0.002,1,"Observations Completed."
"2020-07-10","P150",14,300,1,0.02,0.02,1,"Observations Completed."
"2020-07-10","P150",14,599,1,0.306,0.306,2,"Observations Completed."
"2020-07-10","P150",14,2550,1,19.88,19.88,1,"Observations Completed."
"2020-07-10","P150",15,10,1,0.078,0.078,1,"Observations Completed."
"2020-07-10","P150",15,42,1,0.287,0.287,1,"Observations Completed."
"2020-07-10","P150",15,43,1,1.834,1.834,2,"Observations Completed."
"2020-07-10","P150",15,300,1,0.08,0.08,1,"Observations Completed."
"2020-07-10","P150",15,611,1,11.06,1.068,3,"Observations Completed."
"2020-07-10","P150",15,2513,1,0.014,0.014,1,"Observations Completed."
"2020-07-10","P150",15,2550,1,173.98,58.32,9,"Observations Completed."
"2020-07-10","P150",15,8500,1,0.108,0,1,""
"2020-07-11","P150",16,43,1,0.412,0.412,1,"Observations Completed."
"2020-07-11","P150",16,63,1,1.083,1.083,1,"Observations Completed."
"2020-07-11","P150",16,204,1,1.002,1.002,1,"Observations Completed."
"2020-07-11","P150",16,2539,1,0.681,0.681,1,"Observations Completed."
"2020-07-11","P150",16,2550,1,62.16,62.16,3,"Observations Completed."
"2020-07-11","P150",16,8638,1,0.032,0,1,""
"2020-07-11","P150",16,9300,1,0.075,0,1,""
"2020-07-11","P150",17,12,1,2.86,2.86,1,"Observations Completed."
"2020-07-11","P150",17,17,1,0.644,0.644,1,"Observations Completed."
"2020-07-11","P150",17,42,1,0.436,0.436,1,"Observations Completed."
"2020-07-11","P150",17,43,1,6.08,6.08,1,"Observations Completed."
"2020-07-11","P150",17,60,1,0.199,0.199,1,"Observations Completed."
"2020-07-11","P150",17,60,2,0.001,0.001,1,"Observations Completed."
"2020-07-11","P150",17,62,1,0.759,0.759,1,"Observations Completed."
"2020-07-11","P150",17,63,1,14.962,2.676,4,"Observations Completed."
"2020-07-11","P150",17,70,1,18.67,18.67,1,"Observations Completed."
"2020-07-11","P150",17,122,1,2.96,2.96,1,"Observations Completed."
"2020-07-11","P150",17,143,1,0.155,0.155,1,"Observations Completed."
"2020-07-11","P150",17,300,1,1.143,1.143,1,"Observations Completed."
"2020-07-11","P150",17,640,1,0.282,0.282,1,"Observations Completed."
"2020-07-11","P150",17,2550,1,202.19,42.18,11,"Observations Completed."
"2020-07-11","P150",17,8500,1,0.088,0,1,""
"2020-07-11","P150",17,8623,1,0.01,0,1,""
"2020-07-11","P150",18,10,1,0.157,0.157,1,"Observations Completed."
"2020-07-11","P150",18,42,1,0.215,0.215,1,"Observations Completed."
"2020-07-11","P150",18,43,1,3.92,3.92,1,"Observations Completed."
"2020-07-11","P150",18,63,1,0.021,0.021,1,"Observations Completed."
"2020-07-11","P150",18,70,1,0.221,0.221,1,"Observations Completed."
"2020-07-11","P150",18,122,1,0.645,0.645,1,"Observations Completed."
"2020-07-11","P150",18,251,1,0.042,0.042,1,"Observations Completed."
"2020-07-11","P150",18,599,1,0.101,0.101,1,"Observations Completed."
"2020-07-11","P150",18,2550,1,42.8,42.8,3,"Observations Completed."
"2020-07-11","P150",19,42,1,0.012,0.012,1,"Observations Completed."
"2020-07-11","P150",19,300,1,0.061,0.061,1,"Observations Completed."
"2020-07-11","P150",19,611,1,19.491,0.708,3,"Observations Completed."
"2020-07-11","P150",19,2550,1,42.76,42.76,2,"Observations Completed."
"2020-07-11","P150",19,8500,1,1.633,0,1,""
"2020-07-12","P150",20,43,1,2.2,2.2,1,"Observations Completed."
"2020-07-12","P150",20,62,1,0.129,0.129,1,"Observations Completed."
"2020-07-12","P150",20,63,1,0.024,0.024,1,"Observations Completed."
"2020-07-12","P150",20,70,1,8.63,8.63,1,"Observations Completed."
"2020-07-12","P150",20,122,1,0.278,0.278,1,"Observations Completed."
"2020-07-12","P150",20,143,1,0.322,0.322,1,"Observations Completed."
"2020-07-12","P150",20,204,1,0.307,0.307,1,"Observations Completed."
"2020-07-12","P150",20,2518,1,0.001,0.001,1,"Observations Completed."
"2020-07-12","P150",20,2550,1,84.04,55.34,5,"Observations Completed."
"2020-07-12","P150",20,6212,1,0.001,0,1,""
"2020-07-12","P150",20,8621,1,0.083,0,1,""
"2020-07-12","P150",20,8638,1,0.141,0,1,""
"2020-07-12","P150",22,17,1,0.082,0.082,1,"Observations Completed."
"2020-07-12","P150",22,42,1,0.407,0.407,2,"Observations Completed."
"2020-07-12","P150",22,43,1,3.74,3.74,1,"Observations Completed."
"2020-07-12","P150",22,62,1,3.63,3.63,1,"Observations Completed."
"2020-07-12","P150",22,63,1,0.617,0.617,1,"Observations Completed."
"2020-07-12","P150",22,122,1,0.666,0.666,1,"Observations Completed."
"2020-07-12","P150",22,2527,1,0.003,0.003,1,"Observations Completed."
"2020-07-12","P150",22,2550,1,54.04,54.04,3,"Observations Completed."
"2020-07-12","P150",22,3100,1,0.001,0,1,""
"2020-07-12","P150",22,6200,1,0.001,0,1,""
"2020-07-12","P150",22,8500,1,0.682,0,1,""
"2020-07-12","P150",22,8623,1,0.819,0,1,""
"2020-07-12","P150",23,43,1,0.643,0.643,1,"Observations Completed."
"2020-07-12","P150",23,118,1,0.063,0.063,1,"Observations Completed."
"2020-07-12","P150",23,251,1,0.052,0.052,1,"Observations Completed."
"2020-07-12","P150",23,1827,1,0.028,0,1,""
"2020-07-12","P150",23,2513,1,0.092,0.092,1,"Observations Completed."
"2020-07-12","P150",23,2527,1,0.003,0.003,1,"Observations Completed."
"2020-07-12","P150",23,2550,1,6.58,6.58,1,"Observations Completed."
"2020-07-12","P150",23,2990,1,0.023,0,1,""
"2020-07-12","P150",23,4511,1,0.142,0.142,1,"Observations Completed."
"2020-07-12","P150",23,6119,1,0.001,0,1,""
"2020-07-12","P150",23,8300,1,0.049,0,1,""
"2020-07-12","P150",24,10,1,0.072,0.072,1,"Observations Completed."
"2020-07-12","P150",24,43,1,0.034,0.034,1,"Observations Completed."
"2020-07-12","P150",24,122,1,0.023,0.023,1,"Observations Completed."
"2020-07-12","P150",24,303,1,0.045,0.045,1,"Observations Completed."
"2020-07-12","P150",24,611,1,1.58,1.58,2,"Observations Completed."
"2020-07-12","P150",24,2212,1,0.007,0,1,""
"2020-07-12","P150",24,2527,1,0.099,0.099,2,"Observations Completed."
"2020-07-12","P150",24,2550,1,6.02,6.02,1,"Observations Completed."
"2020-07-12","P150",24,4332,1,0.252,0,1,""
"2020-07-12","P150",24,6400,1,0.202,0,1,""
"2020-07-12","P150",24,8300,1,0.205,0,1,""
"2020-07-12","P150",24,8621,1,0.001,0,1,""
"2020-07-12","P150",25,42,1,0.024,0.024,1,""
"2020-07-12","P150",25,118,1,0.061,0.061,1,"Observations Completed."
"2020-07-12","P150",25,251,1,0.042,0.042,1,""
"2020-07-12","P150",25,2550,1,0.88,0.88,1,""
"2020-07-12","P150",25,8300,1,0.121,0,1,""
"2020-07-12","P150",25,8500,1,0.006,0,1,""
"2020-07-12","P150",26,42,1,0.695,0.695,1,"Observations Completed."
"2020-07-12","P150",26,611,1,3.435,0.771,3,"Observations Completed."
"2020-07-12","P150",26,2417,1,0.001,0,1,""
"2020-07-12","P150",26,2550,1,8.67,8.67,1,"Observations Completed."
"2020-07-12","P150",26,8500,1,0.036,0,1,""
"2020-07-13","P150",27,42,1,0.034,0.034,1,"Observations Completed."
"2020-07-13","P150",27,43,1,0.079,0.079,1,"Observations Completed."
"2020-07-13","P150",27,63,1,0.023,0.023,1,"Observations Completed."
"2020-07-13","P150",27,251,1,0.001,0.001,1,"Observations Completed."
"2020-07-13","P150",27,599,1,0.029,0.029,1,"Observations Completed."
"2020-07-13","P150",27,640,1,0.009,0.009,1,"Observations Completed."
"2020-07-13","P150",27,2417,1,0.005,0,1,""
"2020-07-13","P150",27,2550,1,90.93,67.38,5,"Observations Completed."
"2020-07-13","P150",27,8500,1,3.21,0,1,""
"2020-07-13","P150",28,10,1,0.064,0.064,1,"Observations Completed."
"2020-07-13","P150",28,43,1,0.205,0.205,1,"Observations Completed."
"2020-07-13","P150",28,63,1,0.042,0.042,1,"Observations Completed."
"2020-07-13","P150",28,251,1,0.05,0.05,1,"Observations Completed. Fish (n=1) kept frozen."
"2020-07-13","P150",28,2212,1,0.001,0,1,""
"2020-07-13","P150",28,2417,1,0.002,0,1,""
"2020-07-13","P150",28,2550,1,9.5,9.5,1,"Observations Completed."
"2020-07-13","P150",28,6119,1,0.006,0,1,""
"2020-07-13","P150",28,8300,1,0.443,0,1,""
"2020-07-13","P150",28,8500,1,0.157,0,1,""
"2020-07-16","P150",30,43,1,1.921,1.921,1,"Observations Completed."
"2020-07-16","P150",30,63,1,0.974,0.974,1,"Observations Completed."
"2020-07-16","P150",30,65,1,1.162,1.162,1,"Observations Completed."
"2020-07-16","P150",30,204,1,1.946,1.946,1,"Observations Completed."
"2020-07-16","P150",30,599,1,0.025,0.025,1,"Observations Completed."
"2020-07-16","P150",30,2513,1,0.027,0.027,1,"Observations Completed."
"2020-07-16","P150",30,2550,1,56.16,56.16,3,"Observations Completed."
"2020-07-16","P150",30,4348,1,0.285,0,1,""
"2020-07-16","P150",30,8500,1,0.728,0,1,""
"2020-07-16","P150",30,8638,1,0.035,0,1,""
"2020-07-16","P150",30,9300,1,0.473,0,1,""
"2020-07-16","P150",31,43,1,0.786,0.786,1,"Observations Completed."
"2020-07-16","P150",31,63,1,2.522,2.522,1,"Observations Completed."
"2020-07-16","P150",31,143,1,0.211,0.211,1,"Observations Completed."
"2020-07-16","P150",31,204,1,1.051,1.051,1,"Observations Completed."
"2020-07-16","P150",31,303,1,0.004,0.004,1,"Observations Completed."
"2020-07-16","P150",31,2417,1,0.001,0,1,""
"2020-07-16","P150",31,2513,1,0.053,0.053,1,"Observations Completed."
"2020-07-16","P150",31,2539,1,2.956,2.956,1,"Observations Completed."
"2020-07-16","P150",31,2550,1,54.13,54.13,3,"Observations Completed."
"2020-07-16","P150",31,3100,1,0.001,0,1,""
"2020-07-16","P150",31,4348,1,0.012,0,1,""
"2020-07-16","P150",31,8500,1,0.38,0,1,""
"2020-07-16","P150",31,8621,1,0.069,0,1,""
"2020-07-16","P150",31,8638,1,0.128,0,1,""
"2020-07-16","P150",31,9300,1,2.984,0,1,""
"2020-07-16","P150",32,42,1,0.04,0.04,2,"Observations Completed."
"2020-07-16","P150",32,43,1,7.505,7.505,2,"Observations Completed."
"2020-07-16","P150",32,143,1,0.086,0.086,1,"Observations Completed."
"2020-07-16","P150",32,204,1,1.751,1.751,2,"Observations Completed."
"2020-07-16","P150",32,303,1,0.012,0.012,1,"Observations Completed."
"2020-07-16","P150",32,640,1,0.13,0.13,1,"Observations Completed."
"2020-07-16","P150",32,2417,1,0.001,0,1,""
"2020-07-16","P150",32,2539,1,1.954,1.954,1,"Observations Completed."
"2020-07-16","P150",32,2550,1,49.78,49.78,3,"Observations Completed."
"2020-07-16","P150",32,8638,1,0.241,0,1,""
"2020-07-16","P150",32,9300,1,0.193,0,1,""
"2020-07-16","P150",33,24,1,1.436,1.436,1,"Observations Completed."
"2020-07-16","P150",33,43,1,3.275,3.275,2,"Observations Completed."
"2020-07-16","P150",33,63,1,0.492,0.492,1,"Observations Completed."
"2020-07-16","P150",33,122,1,0.188,0.188,1,"Observations Completed."
"2020-07-16","P150",33,143,1,0.171,0.171,1,"Observations Completed."
"2020-07-16","P150",33,640,1,0.375,0.375,1,"Observations Completed."
"2020-07-16","P150",33,2513,1,0.03,0.03,1,"Observations Completed."
"2020-07-16","P150",33,2518,1,0.001,0.001,1,"Observations Completed."
"2020-07-16","P150",33,2539,1,0.489,0.489,1,"Observations Completed."
"2020-07-16","P150",33,2550,1,38.96,38.96,3,"Observations Completed."
"2020-07-16","P150",33,3100,1,0.001,0,1,""
"2020-07-16","P150",33,4348,1,0.01,0,1,""
"2020-07-16","P150",33,6119,1,0.003,0,1,""
"2020-07-16","P150",33,8500,1,0.03,0,1,""
"2020-07-16","P150",33,8621,1,0.017,0,1,""
"2020-07-16","P150",33,8638,1,5.386,0,1,""
"2020-07-16","P150",33,9300,1,0.266,0,1,""
"2020-07-17","P150",34,43,1,9.4,9.4,1,"Observations Completed."
"2020-07-17","P150",34,62,1,0.144,0.144,1,"Observations Completed."
"2020-07-17","P150",34,63,1,22.4,2.94,5,"Observations Completed."
"2020-07-17","P150",34,70,1,0.679,0.679,1,"Observations Completed."
"2020-07-17","P150",34,122,1,1.342,1.342,1,"Observations Completed."
"2020-07-17","P150",34,143,1,0.398,0.398,1,"Observations Completed."
"2020-07-17","P150",34,300,1,0.137,0.137,1,"Observations Completed."
"2020-07-17","P150",34,621,1,0.005,0.005,1,"Observations Completed."
"2020-07-17","P150",34,2513,1,0.123,0.123,1,"Observations Completed."
"2020-07-17","P150",34,2518,1,0.001,0.001,1,"Observations Completed."
"2020-07-17","P150",34,2550,1,175.99,57.25,9,"Observations Completed."
"2020-07-17","P150",34,4348,1,0.012,0,1,""
"2020-07-17","P150",34,6119,1,0.009,0,1,""
"2020-07-17","P150",34,8611,1,0.006,0,1,""
"2020-07-17","P150",34,8638,1,2.69,0,1,""
"2020-07-17","P150",34,9300,1,0.136,0,1,""
"2020-07-17","P150",35,10,1,0.12,0.12,1,"Observations Completed."
"2020-07-17","P150",35,17,1,1.024,1.024,2,"Observations Completed."
"2020-07-17","P150",35,42,1,0.052,0.052,1,"Observations Completed."
"2020-07-17","P150",35,43,1,8.44,6.92,2,"Observations Completed."
"2020-07-17","P150",35,63,1,9.37,4.95,2,"Observations Completed."
"2020-07-17","P150",35,122,1,1.479,1.479,2,"Observations Completed."
"2020-07-17","P150",35,251,1,0.127,0.127,1,"Observations Completed."
"2020-07-17","P150",35,300,1,0.1,0.1,2,"Observations Completed."
"2020-07-17","P150",35,301,1,0.328,0.328,1,"Observations Completed."
"2020-07-17","P150",35,320,1,0.425,0.425,1,"Observations Completed."
"2020-07-17","P150",35,599,1,0.036,0.036,1,"Observations Completed."
"2020-07-17","P150",35,2513,1,0.111,0.111,1,"Observations Completed."
"2020-07-17","P150",35,2527,1,0.06,0.06,1,"Observations Completed."
"2020-07-17","P150",35,2550,1,227.38,58.1,12,"Observations Completed."
"2020-07-17","P150",35,4332,1,0.156,0,1,""
"2020-07-17","P150",35,6400,1,0.074,0,1,""
"2020-07-17","P150",35,8300,1,1.87,0,1,""
"2020-07-17","P150",36,17,1,0.035,0.035,1,"Observations Completed."
"2020-07-17","P150",36,42,1,0.075,0.075,1,"Observations Completed."
"2020-07-17","P150",36,43,1,3.65,3.65,1,"Observations Completed."
"2020-07-17","P150",36,60,1,0.005,0.005,1,"Observations Completed."
"2020-07-17","P150",36,63,1,9.02,4.43,3,"Observations Completed."
"2020-07-17","P150",36,122,1,1.31,1.31,1,"Observations Completed."
"2020-07-17","P150",36,143,1,0.108,0.108,1,"Observations Completed."
"2020-07-17","P150",36,599,1,0.691,0.691,1,"Observations Completed."
"2020-07-17","P150",36,2550,1,217.26,46.62,13,"Observations Completed."
