"code"	"english"	"latin"	"french"	"aphia.id"	"kingdom"	"phylum"	"class"	"subclass"	"order"	"superfamily"	"family"	"infraclass"	"subterclass"	"superorder"	"subkingdom"	"infrakingdom"	"subphylum"	"infraphylum"	"superclass"	"phylum (division)"	"suborder"	"infraorder"	"parvorder"	"subfamily"	"genus"	"species"	"tribe"	"section"	"subsection"	"subgenus"	"subphylum (subdivision)"	"subspecies"
27	"Escolar"	"Lepidocybium flavobrunneum"	"Escolar"	126863	"Animalia"	"Chordata"	"Actinopterygii"	""	"Perciformes"	""	"Gempylidae"	""	""	""	""	""	"Vertebrata"	"Gnathostomata"	"Pisces"	""	"Scombroidei"	""	""	""	"Lepidocybium"	"Lepidocybium flavobrunneum"	""	""	""	""	""	""
28	"Nealotus tripes"	"Nealotus tripes"	"Coelho tripode"	126864	"Animalia"	"Chordata"	"Actinopterygii"	""	"Perciformes"	""	"Gempylidae"	""	""	""	""	""	"Vertebrata"	"Gnathostomata"	"Pisces"	""	"Scombroidei"	""	""	""	"Nealotus"	"Nealotus tripes"	""	""	""	""	""	""
29	"Oilfish"	"Ruvettus pretiosus"	"Rouvet"	126867	"Animalia"	"Chordata"	"Actinopterygii"	""	"Perciformes"	""	"Gempylidae"	""	""	""	""	""	"Vertebrata"	"Gnathostomata"	"Pisces"	""	"Scombroidei"	""	""	""	"Ruvettus"	"Ruvettus pretiosus"	""	""	""	""	""	""
30	"Atlantic halibut"	"Hippoglossus hippoglossus"	"Flétan Atlantique"	127138	"Animalia"	"Chordata"	"Actinopterygii"	""	"Pleuronectiformes"	""	"Pleuronectidae"	""	""	""	""	""	"Vertebrata"	"Gnathostomata"	"Pisces"	""	""	""	""	"Pleuronectinae"	"Hippoglossus"	"Hippoglossus hippoglossus"	""	""	""	""	""	""
31	"Greenland halibut(turbot)"	"Reinhardtius hippoglossoides"	"Flétan du Groenland"	127144	"Animalia"	"Chordata"	"Actinopterygii"	""	"Pleuronectiformes"	""	"Pleuronectidae"	""	""	""	""	""	"Vertebrata"	"Gnathostomata"	"Pisces"	""	""	""	""	"Pleuronectinae"	"Reinhardtius"	"Reinhardtius hippoglossoides"	""	""	""	""	""	""
32	"White marlin"	"Tetrapterus albidus"	"Makaire blanc"	712906	"Animalia"	"Chordata"	"Actinopterygii"	""	"Perciformes"	""	"Istiophoridae"	""	""	""	""	""	"Vertebrata"	"Gnathostomata"	"Pisces"	""	"Xiphioidei"	""	""	""	"Kajikia"	"Kajikia albida"	""	""	""	""	""	""
33	"Blue marlin"	"Makaira nigricans"	"Makaire bleu"	126950	"Animalia"	"Chordata"	"Actinopterygii"	""	"Perciformes"	""	"Istiophoridae"	""	""	""	""	""	"Vertebrata"	"Gnathostomata"	"Pisces"	""	"Xiphioidei"	""	""	""	"Makaira"	"Makaira nigricans"	""	""	""	""	""	""
34	"Anchovies"	"Engraulidae f."	"Anchois"	125465	"Animalia"	"Chordata"	"Actinopterygii"	""	"Clupeiformes"	""	"Engraulidae"	""	""	""	""	""	"Vertebrata"	"Gnathostomata"	"Pisces"	""	""	""	""	""	""	""	""	""	""	""	""	""
35	"Hake"	"Merluccius sp."	"Merlus"	125762	"Animalia"	"Chordata"	"Actinopterygii"	""	"Gadiformes"	""	"Merlucciidae"	""	""	""	""	""	"Vertebrata"	"Gnathostomata"	"Pisces"	""	""	""	""	"Merlucciinae"	"Merluccius"	""	""	""	""	""	""	""
36	"Wrasses"	"Labridae f."	"Labres"	125541	"Animalia"	"Chordata"	"Actinopterygii"	""	"Perciformes"	""	"Labridae"	""	""	""	""	""	"Vertebrata"	"Gnathostomata"	"Pisces"	""	"Labroidei"	""	""	""	""	""	""	""	""	""	""	""
37	"Pearlfish, chain"	"Echiodon dawsoni"	"Aurin chaine"	158996	"Animalia"	"Chordata"	"Actinopterygii"	""	"Ophidiiformes"	""	"Carapidae"	""	""	""	""	""	"Vertebrata"	"Gnathostomata"	"Pisces"	""	""	""	""	"Carapinae"	"Echiodon"	"Echiodon dawsoni"	""	""	""	""	""	""
38	"Swallowers"	"Pseudoscopelus sp."	"Pseudoscopelus sp."	125958	"Animalia"	"Chordata"	"Actinopterygii"	""	"Perciformes"	""	"Chiasmodontidae"	""	""	""	""	""	"Vertebrata"	"Gnathostomata"	"Pisces"	""	"Trachinoidei"	""	""	""	"Pseudoscopelus"	""	""	""	""	""	""	""
39	"Black swallower"	"Chiasmodon niger"	"Grand avaleur"	126840	"Animalia"	"Chordata"	"Actinopterygii"	""	"Perciformes"	""	"Chiasmodontidae"	""	""	""	""	""	"Vertebrata"	"Gnathostomata"	"Pisces"	""	"Trachinoidei"	""	""	""	"Chiasmodon"	"Chiasmodon niger"	""	""	""	""	""	""
40	"American plaice"	"Hippoglossoides platessoides"	"Plie canadienne"	127137	"Animalia"	"Chordata"	"Actinopterygii"	""	"Pleuronectiformes"	""	"Pleuronectidae"	""	""	""	""	""	"Vertebrata"	"Gnathostomata"	"Pisces"	""	""	""	""	"Pleuronectinae"	"Hippoglossoides"	"Hippoglossoides platessoides"	""	""	""	""	""	""
41	"Witch flounder"	"Glyptocephalus cynoglossus"	"Plie grise"	127136	"Animalia"	"Chordata"	"Actinopterygii"	""	"Pleuronectiformes"	""	"Pleuronectidae"	""	""	""	""	""	"Vertebrata"	"Gnathostomata"	"Pisces"	""	""	""	""	"Pleuronectinae"	"Glyptocephalus"	"Glyptocephalus cynoglossus"	""	""	""	""	""	""
42	"Yellowtail flounder"	"Limanda ferruginea"	"Limande à queue jaune"	158879	"Animalia"	"Chordata"	"Actinopterygii"	""	"Pleuronectiformes"	""	"Pleuronectidae"	""	""	""	""	""	"Vertebrata"	"Gnathostomata"	"Pisces"	""	""	""	""	"Pleuronectinae"	"Limanda"	"Limanda ferruginea"	""	""	""	""	""	""
43	"Winter flounder"	"Pseudopleuronectes americanus"	"Plie rouge"	158885	"Animalia"	"Chordata"	"Actinopterygii"	""	"Pleuronectiformes"	""	"Pleuronectidae"	""	""	""	""	""	"Vertebrata"	"Gnathostomata"	"Pisces"	""	""	""	""	"Pleuronectinae"	"Pseudopleuronectes"	"Pseudopleuronectes americanus"	""	""	""	""	""	""
44	"Gulf stream flounder"	"Citharichthys arctifrons"	"Turbot du Gulf Stream"	158791	"Animalia"	"Chordata"	"Actinopterygii"	""	"Pleuronectiformes"	""	"Paralichthyidae"	""	""	""	""	""	"Vertebrata"	"Gnathostomata"	"Pisces"	""	""	""	""	""	"Citharichthys"	"Citharichthys arctifrons"	""	""	""	""	""	""
45	"Eyed flounder"	"Bothus ocellatus"	"Turbot oculé"	159275	"Animalia"	"Chordata"	"Actinopterygii"	""	"Pleuronectiformes"	""	"Bothidae"	""	""	""	""	""	"Vertebrata"	"Gnathostomata"	"Pisces"	""	""	""	""	""	"Bothus"	"Bothus ocellatus"	""	""	""	""	""	""
46	"Northern sennet"	"Sphyraena borealis"	"Sphyraena borealis"	159813	"Animalia"	"Chordata"	"Actinopterygii"	""	"Perciformes"	""	"Sphyraenidae"	""	""	""	""	""	"Vertebrata"	"Gnathostomata"	"Pisces"	""	"Sphyraenoidei"	""	""	""	"Sphyraena"	"Sphyraena borealis"	""	""	""	""	""	""
47	"White mullet"	"Mugil curema"	"Mugil curema"	159416	"Animalia"	"Chordata"	"Actinopterygii"	""	"Mugiliformes"	""	"Mugilidae"	""	""	""	""	""	"Vertebrata"	"Gnathostomata"	"Pisces"	""	"Mugiloidei"	""	""	""	"Mugil"	"Mugil curema"	""	""	""	""	""	""
48	"Striped mullet"	"Mugil cephalus"	"Muge cabot"	126983	"Animalia"	"Chordata"	"Actinopterygii"	""	"Mugiliformes"	""	"Mugilidae"	""	""	""	""	""	"Vertebrata"	"Gnathostomata"	"Pisces"	""	"Mugiloidei"	""	""	""	"Mugil"	"Mugil cephalus"	""	""	""	""	""	""
49	"Flounder unsp."	"Pleuronectidae f."	"Plies"	125579	"Animalia"	"Chordata"	"Actinopterygii"	""	"Pleuronectiformes"	""	"Pleuronectidae"	""	""	""	""	""	"Vertebrata"	"Gnathostomata"	"Pisces"	""	""	""	""	""	""	""	""	""	""	""	""	""
50	"Atlantic striped wolffish"	"Anarhichas lupus"	"Loup atlantique"	126758	"Animalia"	"Chordata"	"Actinopterygii"	""	"Perciformes"	""	"Anarhichadidae"	""	""	""	""	""	"Vertebrata"	"Gnathostomata"	"Pisces"	""	"Zoarcoidei"	""	""	""	"Anarhichas"	"Anarhichas lupus"	""	""	""	""	""	""
51	"Spotted wolffish"	"Anarhichas minor"	"Loup tacheté"	126759	"Animalia"	"Chordata"	"Actinopterygii"	""	"Perciformes"	""	"Anarhichadidae"	""	""	""	""	""	"Vertebrata"	"Gnathostomata"	"Pisces"	""	"Zoarcoidei"	""	""	""	"Anarhichas"	"Anarhichas minor"	""	""	""	""	""	""
52	"Northern wolffish"	"Anarhichas denticulatus"	"Loup à tête large"	126757	"Animalia"	"Chordata"	"Actinopterygii"	""	"Perciformes"	""	"Anarhichadidae"	""	""	""	""	""	"Vertebrata"	"Gnathostomata"	"Pisces"	""	"Zoarcoidei"	""	""	""	"Anarhichas"	"Anarhichas denticulatus"	""	""	""	""	""	""
53	"Tautog"	"Tautoga onitis"	"Tautogue noir"	158830	"Animalia"	"Chordata"	"Actinopterygii"	""	"Perciformes"	""	"Labridae"	""	""	""	""	""	"Vertebrata"	"Gnathostomata"	"Pisces"	""	"Labroidei"	""	""	""	"Tautoga"	"Tautoga onitis"	""	""	""	""	""	""
54	"Sergeant major"	"Abudefduf saxatilis"	"Abudefduf saxatilis"	159288	"Animalia"	"Chordata"	"Actinopterygii"	""	"Perciformes"	""	"Pomacentridae"	""	""	""	""	""	"Vertebrata"	"Gnathostomata"	"Pisces"	""	"Labroidei"	""	""	""	"Abudefduf"	"Abudefduf saxatilis"	""	""	""	""	""	""
55	"European ling"	"Molva molva"	"Julienne"	126461	"Animalia"	"Chordata"	"Actinopterygii"	""	"Gadiformes"	""	"Lotidae"	""	""	""	""	""	"Vertebrata"	"Gnathostomata"	"Pisces"	""	""	""	""	""	"Molva"	"Molva molva"	""	""	""	""	""	""
56	"Blue ling"	"Molva dypterygia"	"Lingue bleue"	126459	"Animalia"	"Chordata"	"Actinopterygii"	""	"Gadiformes"	""	"Lotidae"	""	""	""	""	""	"Vertebrata"	"Gnathostomata"	"Pisces"	""	""	""	""	""	"Molva"	"Molva dypterygia"	""	""	""	""	""	""
57	"Phycinae f."	"Phycinae s.f."	"Phycinae s.f."	125475	"Animalia"	"Chordata"	"Actinopterygii"	""	"Gadiformes"	""	"Phycidae"	""	""	""	""	""	"Vertebrata"	"Gnathostomata"	"Pisces"	""	""	""	""	""	""	""	""	""	""	""	""	""
58	"Striped anchovy"	"Anchoa hepsetus"	"Pitiquinga"	158698	"Animalia"	"Chordata"	"Actinopterygii"	""	"Clupeiformes"	""	"Engraulidae"	""	""	""	""	""	"Vertebrata"	"Gnathostomata"	"Pisces"	""	""	""	""	""	"Anchoa"	"Anchoa hepsetus"	""	""	""	""	""	""
59	"Wolffish, unsp."	"Anarhichadidae f."	"Loups"	125517	"Animalia"	"Chordata"	"Actinopterygii"	""	"Perciformes"	""	"Anarhichadidae"	""	""	""	""	""	"Vertebrata"	"Gnathostomata"	"Pisces"	""	"Zoarcoidei"	""	""	""	""	""	""	""	""	""	""	""
60	"Atlantic herring"	"Clupea harengus"	"Hareng atlantique"	126417	"Animalia"	"Chordata"	"Actinopterygii"	""	"Clupeiformes"	""	"Clupeidae"	""	""	""	""	""	"Vertebrata"	"Gnathostomata"	"Pisces"	""	""	""	""	""	"Clupea"	"Clupea harengus"	""	""	""	""	""	""
61	"Shad american"	"Alosa sapidissima"	"Alose savoureuse"	158670	"Animalia"	"Chordata"	"Actinopterygii"	""	"Clupeiformes"	""	"Clupeidae"	""	""	""	""	""	"Vertebrata"	"Gnathostomata"	"Pisces"	""	""	""	""	""	"Alosa"	"Alosa sapidissima"	""	""	""	""	""	""
62	"Gaspereau"	"Alosa pseudoharengus"	"Gasperau"	158669	"Animalia"	"Chordata"	"Actinopterygii"	""	"Clupeiformes"	""	"Clupeidae"	""	""	""	""	""	"Vertebrata"	"Gnathostomata"	"Pisces"	""	""	""	""	""	"Alosa"	"Alosa pseudoharengus"	""	""	""	""	""	""
63	"Rainbow smelt"	"Osmerus mordax"	"perlan d'Amérique"	126737	"Animalia"	"Chordata"	"Actinopterygii"	""	"Osmeriformes"	""	"Osmeridae"	""	""	""	""	""	"Vertebrata"	"Gnathostomata"	"Pisces"	""	""	""	""	""	"Osmerus"	"Osmerus mordax"	""	""	""	""	""	""
64	"Capelin"	"Mallotus villosus"	"Capelan"	126735	"Animalia"	"Chordata"	"Actinopterygii"	""	"Osmeriformes"	""	"Osmeridae"	""	""	""	""	""	"Vertebrata"	"Gnathostomata"	"Pisces"	""	""	""	""	""	"Mallotus"	"Mallotus villosus"	""	""	""	""	""	""
65	"Atlantic salmon"	"Salmo salar"	"Saumon atlantique"	127186	"Animalia"	"Chordata"	"Actinopterygii"	""	"Salmoniformes"	""	"Salmonidae"	""	""	""	""	""	"Vertebrata"	"Gnathostomata"	"Pisces"	""	""	""	""	"Salmoninae"	"Salmo"	"Salmo salar"	""	""	""	""	""	""
66	"Lake whitefish"	"Coregonus clupeaformis"	"Grand corégone"	158726	"Animalia"	"Chordata"	"Actinopterygii"	""	"Salmoniformes"	""	"Salmonidae"	""	""	""	""	""	"Vertebrata"	"Gnathostomata"	"Pisces"	""	""	""	""	"Coregoninae"	"Coregonus"	"Coregonus clupeaformis"	""	""	""	""	""	""
67	"Atlantic whitefish"	"Coregonus canadensis"	"Coregonus canadensis"	158074	"Animalia"	"Chordata"	"Actinopterygii"	""	"Salmoniformes"	""	"Salmonidae"	""	""	""	""	""	"Vertebrata"	"Gnathostomata"	"Pisces"	""	""	""	""	"Coregoninae"	"Coregonus"	"Coregonus huntsmani"	""	""	""	""	""	""
68	"Pink salmon"	"Oncorhynchus gorbuscha"	"Saumon rose"	127182	"Animalia"	"Chordata"	"Actinopterygii"	""	"Salmoniformes"	""	"Salmonidae"	""	""	""	""	""	"Vertebrata"	"Gnathostomata"	"Pisces"	""	""	""	""	"Salmoninae"	"Oncorhynchus"	"Oncorhynchus gorbuscha"	""	""	""	""	""	""
69	"Rainbow trout"	"Salmo gairdneri"	"Truite arc-en-ciel"	127185	"Animalia"	"Chordata"	"Actinopterygii"	""	"Salmoniformes"	""	"Salmonidae"	""	""	""	""	""	"Vertebrata"	"Gnathostomata"	"Pisces"	""	""	""	""	"Salmoninae"	"Oncorhynchus"	"Oncorhynchus mykiss"	""	""	""	""	""	""
70	"Atlantic mackerel"	"Scomber scombrus"	"Maquereau bleu"	127023	"Animalia"	"Chordata"	"Actinopterygii"	""	"Perciformes"	""	"Scombridae"	""	""	""	""	""	"Vertebrata"	"Gnathostomata"	"Pisces"	""	"Scombroidei"	""	""	"Scombrinae"	"Scomber"	"Scomber scombrus"	""	""	""	""	""	""
71	"Bluefin tuna"	"Thunnus thynnus"	"Thon rouge"	127029	"Animalia"	"Chordata"	"Actinopterygii"	""	"Perciformes"	""	"Scombridae"	""	""	""	""	""	"Vertebrata"	"Gnathostomata"	"Pisces"	""	"Scombroidei"	""	""	"Scombrinae"	"Thunnus"	"Thunnus thynnus"	""	""	""	""	""	""
72	"Swordfish"	"Xiphias gladius"	"Espadon"	127094	"Animalia"	"Chordata"	"Actinopterygii"	""	"Perciformes"	""	"Xiphiidae"	""	""	""	""	""	"Vertebrata"	"Gnathostomata"	"Pisces"	""	"Xiphioidei"	""	""	""	"Xiphias"	"Xiphias gladius"	""	""	""	""	""	""
73	"Tunas, swordfishes, etc."	"Scombroidei (suborder)"	"Scombéroides"	151748	"Animalia"	"Chordata"	"Actinopterygii"	""	"Perciformes"	""	""	""	""	""	""	""	"Vertebrata"	"Gnathostomata"	"Pisces"	""	"Scombroidei"	""	""	""	""	""	""	""	""	""	""	""
74	"Banded rudderfish"	"Seriola zonata"	"Sériole à ceinture"	159650	"Animalia"	"Chordata"	"Actinopterygii"	""	"Perciformes"	""	"Carangidae"	""	""	""	""	""	"Vertebrata"	"Gnathostomata"	"Pisces"	""	"Percoidei"	""	""	""	"Seriola"	"Seriola zonata"	""	""	""	""	""	""
75	"Brown trout"	"Salmo trutta"	"Truite brune"	127187	"Animalia"	"Chordata"	"Actinopterygii"	""	"Salmoniformes"	""	"Salmonidae"	""	""	""	""	""	"Vertebrata"	"Gnathostomata"	"Pisces"	""	""	""	""	"Salmoninae"	"Salmo"	"Salmo trutta"	""	""	""	""	""	""
76	"Arctic char"	"Salvelinus alpinus"	"Omble chevalier"	293724	"Animalia"	"Chordata"	"Actinopterygii"	""	"Salmoniformes"	""	"Salmonidae"	""	""	""	""	""	"Vertebrata"	"Gnathostomata"	"Pisces"	""	""	""	""	"Salmoninae"	"Salvelinus"	"Salvelinus alpinus"	""	""	""	""	""	"Salvelinus alpinus alpinus"
77	"Brook trout"	"Salvelinus fontinalis"	"Truite mouchetée"	154241	"Animalia"	"Chordata"	"Actinopterygii"	""	"Salmoniformes"	""	"Salmonidae"	""	""	""	""	""	"Vertebrata"	"Gnathostomata"	"Pisces"	""	""	""	""	"Salmoninae"	"Salvelinus"	"Salvelinus fontinalis"	""	""	""	""	""	""
78	"Bulleye"	"Cookeolus boops"	"Cookeolus boops"	127004	"Animalia"	"Chordata"	"Actinopterygii"	""	"Perciformes"	""	"Priacanthidae"	""	""	""	""	""	"Vertebrata"	"Gnathostomata"	"Pisces"	""	"Percoidei"	""	""	""	"Heteropriacanthus"	"Heteropriacanthus cruentatus"	""	""	""	""	""	""
79	"Glasseye snapper"	"Priacanthus cruentatus"	"Priacanthus cruentatus"	127004	"Animalia"	"Chordata"	"Actinopterygii"	""	"Perciformes"	""	"Priacanthidae"	""	""	""	""	""	"Vertebrata"	"Gnathostomata"	"Pisces"	""	"Percoidei"	""	""	""	"Heteropriacanthus"	"Heteropriacanthus cruentatus"	""	""	""	""	""	""
80	"Round scad"	"Decapterus punctatus"	"Decapterus punctatus"	126808	"Animalia"	"Chordata"	"Actinopterygii"	""	"Perciformes"	""	"Carangidae"	""	""	""	""	""	"Vertebrata"	"Gnathostomata"	"Pisces"	""	"Percoidei"	""	""	""	"Decapterus"	"Decapterus punctatus"	""	""	""	""	""	""
81	"Bluefish"	"Pomatomus saltatrix"	"Tassergal"	151482	"Animalia"	"Chordata"	"Actinopterygii"	""	"Perciformes"	""	"Pomatomidae"	""	""	""	""	""	"Vertebrata"	"Gnathostomata"	"Pisces"	""	"Percoidei"	""	""	""	"Pomatomus"	"Pomatomus saltatrix"	""	""	""	""	""	""
