year,month,day,tow.id,crab.number,sex,shell.condition,body.part,colour.L,colour.a,colour.b,durometer,comment
2018,7,20,GP341F,4,1,1,chela,27.76,0.2983,0.3115,54,
2018,7,20,GP341F,11,1,3,chela,27.93,0.3174,0.3331,86,
2018,7,20,GP341F,12,1,2,chela,22.03,0.3242,0.3306,71,
2018,7,20,GP341F,13,1,2,chela,21.68,0.3131,0.3246,63,
2018,7,20,GP341F,17,1,3,chela,21.39,0.3253,0.3358,69,
2018,7,21,GP260F,12,1,3,chela,19.39,0.315,0.3261,,durom_tre bris‚
2018,7,21,GP260F,19,1,2,chela,19.56,0.3228,0.3328,,durom_tre bris‚
2018,7,21,GP260F,29,1,2,chela,18.01,0.3212,0.332,,durom_tre bris‚
2018,7,21,GP260F,35,1,3,chela,19.85,0.3266,0.3363,,durom_tre bris‚
2018,7,21,GP273F,3,1,3,chela,32.02,0.3191,0.3337,,durom_tre bris‚
2018,7,21,GP273F,18,1,3,chela,22.43,0.3272,0.3416,,durom_tre bris‚
2018,7,21,GP273F,26,1,2,chela,22.45,0.3278,0.3386,,durom_tre bris‚
2018,7,21,GP273F,29,1,4,chela,24.06,0.3566,0.3673,,durom_tre bris‚
2018,7,21,GP273F,44,1,1,chela,27.68,0.3049,0.3191,,durom_tre bris‚
2018,7,21,GP273F,46,1,2,chela,30.68,0.3176,0.3343,,durom_tre bris‚
2018,7,21,GP273F,52,1,1,chela,28.57,0.308,0.3217,,durom_tre bris‚
2018,7,22,GP166F,1,1,5,chela,17.97,0.3703,0.3692,,durom_tre bris‚ pour le reste du voyage
2018,7,22,GP201A1,1,1,3,chela,35.27,0.3593,0.3672,,durom_tre bris‚ pour le reste du voyage
2018,7,22,GP208F,1,1,1,chela,38.32,0.3125,0.3267,,durom_tre bris‚ pour le reste du voyage
2018,7,24,GP130F,3,1,1,chela,31.75,0.3158,0.3234,,
2018,7,24,GP130F,4,1,1,chela,27.06,0.3122,0.3206,,
2018,7,24,GP138F,1,1,4,chela,21.55,0.3494,0.3613,,
2018,7,24,GP138F,2,1,4,chela,20.57,0.3565,0.358,,
2018,7,24,GP139F,2,1,4,chela,19.49,0.3663,0.3689,,
2018,7,24,GP152F,5,1,4,chela,23.08,0.349,0.3626,,
2018,7,24,GP152F,6,1,4,chela,28.35,0.3619,0.372,,
2018,7,24,GP152F,9,1,3M,chela,24.69,0.3481,0.359,,
2018,7,25,GP219F,35,1,1,chela,31.19,0.3044,0.3169,,GP218F mais le changer pour GP219F; durom_tre bris‚ pour le reste du voyage
2018,7,25,GP219F,52,1,4,chela,25.26,0.3534,0.3648,,durom_tre bris‚ pour le reste du voyage
2018,7,31,GP162F,1,1,1,chela,34.82,0.3023,0.3162,62,
2018,7,31,GP162F,4,1,1,chela,32.43,0.3036,0.3168,49,
2018,7,31,GP162F,45,1,2M,chela,23.28,0.3285,0.3411,76,
2018,7,31,GP170F,1,1,1,chela,35.38,0.3067,0.3213,58,
2018,7,31,GP170F,2,1,1,chela,29.9,0.3061,0.3196,58,
2018,7,31,GP170F,32,1,2,chela,33.18,0.318,0.3334,81,
2018,7,31,GP170F,55,1,4,chela,14.85,0.3726,0.3652,65,
2018,7,31,GP170F,85,1,2,chela,19.1,0.3491,0.3541,58,
2018,7,31,GP192F,1,1,1,chela,35.64,0.2997,0.3151,55,
2018,7,31,GP192F,2,1,1,chela,36.29,0.3068,0.3198,54,
2018,7,31,GP197F,1,1,1,chela,22.72,0.3177,0.3282,64,
2018,7,31,GP197F,2,1,1,chela,33.05,0.3055,0.3183,62,
2018,7,31,GP214F,19,1,1,chela,30.11,0.308,0.3223,47,
2018,7,31,GP214F,20,1,1,chela,36.85,0.3156,0.3299,53,
2018,7,31,GP220F,7,1,1,chela,24.7,0.3049,0.319,47,
2018,7,31,GP220F,12,1,1,chela,25.83,0.3093,0.3234,55,
2018,7,31,GP220F,43,1,2,chela,32.11,0.3086,0.3237,66,
2018,7,31,GP220F,109,1,2,chela,23.54,0.3359,0.3491,69,
2018,7,31,GP220F,130,1,3M,chela,24.17,0.3471,0.3582,78,
2018,7,31,GP226A1,1,1,1,chela,32.86,0.3171,0.3294,54,
2018,7,31,GP226A1,2,1,1,chela,31.78,0.3069,0.3205,71,
2018,7,31,GP234F,3,1,1,chela,32.23,0.3094,0.3192,53,
2018,8,1,GP147F,1,1,1,chela,19.73,0.3204,0.3309,68,
2018,8,1,GP147F,5,1,1,chela,24.57,0.3091,0.3217,55,
2018,8,1,GP149F,1,1,1,chela,28.7,0.2974,0.3109,47,
2018,8,1,GP149F,6,1,2,chela,20.06,0.3403,0.3485,66,
2018,8,1,GP149F,8,1,3M,chela,22.43,0.3603,0.3645,81,
2018,8,1,GP149F,9,1,2,chela,18.45,0.3398,0.3487,66,
2018,8,1,GP149F,31,1,4,chela,15.14,0.4005,0.3956,79,
2018,8,1,GP151F,1,1,1,chela,25.71,0.3026,0.3151,59,
2018,8,1,GP151F,2,1,1,chela,36.22,0.3078,0.3242,63,
2018,8,1,GP151F,20,1,2,chela,20.15,0.3285,0.3381,72,
2018,8,1,GP151F,77,1,2,chela,16.79,0.3274,0.3351,63,
2018,8,1,GP158F,3,1,4,chela,21.34,0.3505,0.3584,71,
2018,8,1,GP158F,5,1,4,chela,25.05,0.3541,0.3628,78,
2018,8,1,GP158F,12,1,1,chela,35.76,0.3133,0.3239,28,
2018,8,1,GP158F,14,1,1,chela,33.77,0.3024,0.3169,57,
2018,8,1,GP158F,15,1,3M,chela,29.72,0.3461,0.3578,82,
2018,8,1,GP158F,20,1,3M,chela,27.04,0.3461,0.3588,78,
2018,8,1,GP158F,23,1,4,chela,17.61,0.3689,0.3774,65,
2018,8,1,GP159F,1,1,1,chela,27.73,0.3039,0.3155,53,
2018,8,1,GP159F,2,1,1,chela,30.05,0.3098,0.3257,59,
2018,8,1,GP159F,36,1,2,chela,33.65,0.315,0.3298,78,
2018,8,1,GP159F,40,1,2,chela,21.45,0.3331,0.3425,70,
2018,8,1,GP159F,42,1,3M,chela,24.71,0.3495,0.3586,90,
2018,8,1,GP164F,1,1,1,chela,33.38,0.2997,0.3154,57,
2018,8,1,GP164F,2,1,1,chela,30.45,0.3085,0.3243,62,
2018,8,1,GP164F,12,1,2,chela,32.49,0.3218,0.3376,64,
2018,8,1,GP163F,1,1,1,chela,31.09,0.3053,0.3191,60,
2018,8,1,GP163F,2,1,1,chela,36.94,0.307,0.3224,70,
2018,8,1,GP163F,43,1,2,chela,19.49,0.3401,0.3495,56,
2018,8,1,GP176F,1,1,2,chela,25.86,0.3199,0.3346,79,
2018,8,1,GP176F,1,1,1,chela,27.64,0.2981,0.3112,53,
2018,8,1,GP176F,6,1,2,chela,38.6,0.3448,0.3595,87,
2018,8,1,GP176F,10,1,1,chela,31.86,0.3047,0.3183,63,
2018,8,1,GP176F,22,1,4,chela,21.52,0.3898,0.3903,87,
2018,8,1,GP176F,23,1,4,chela,27.21,0.3541,0.3656,66,
2018,8,1,GP176F,26,1,3M,chela,31.33,0.3496,0.3614,91,
2018,8,1,GP176F,30,1,3M,chela,27.34,0.3408,0.3531,77,
2018,8,1,GP177F,1,1,1,chela,28.59,0.301,0.3143,50,
2018,8,1,GP177F,2,1,1,chela,32.04,0.3045,0.3197,49,
2018,8,1,GP177F,5,1,2,chela,22.1,0.3551,0.3639,58,
2018,8,1,GP177F,6,1,2,chela,34.25,0.3219,0.3369,87,
2018,8,1,GP177F,75,1,3M,chela,20.56,0.374,0.3806,80,
2018,8,1,GP177F,76,1,3M,chela,19.93,0.3499,0.3568,78,
2018,8,1,GP179F,1,1,2,chela,20.77,0.3344,0.3446,64,
2018,8,1,GP179F,3,1,2,chela,34.48,0.3312,0.3455,90,
2018,8,1,GP179F,5,1,4,chela,19.86,0.3837,0.3822,85,
2018,8,1,GP179F,12,1,1,chela,34.66,0.3043,0.3199,54,
2018,8,1,GP184F,2,1,1,chela,31.74,0.2976,0.3108,37,
2018,8,1,GP184F,3,1,1,chela,31.63,0.3014,0.3165,50,
2018,8,1,GP191A1,1,1,1,chela,32.22,0.3061,0.3206,63,
2018,8,1,GP191A1,2,1,1,chela,38.55,0.3044,0.3208,53,
2018,8,1,GP191A1,3,1,4,chela,20.21,0.3721,0.3774,77,
2018,8,1,GP191A1,4,1,3M,chela,26.31,0.3502,0.3637,82,
2018,8,1,GP191A1,12,1,2,chela,19.89,0.3445,0.3544,68,
2018,8,1,GP191A1,15,1,2,chela,27.49,0.3354,0.3471,77,
2018,8,1,GP191A1,27,1,3M,chela,25.76,0.3646,0.37,85,
2018,8,1,GP191A1,42,1,2M,chela,23.93,0.3586,0.3689,79,
2018,8,2,GP099F,1,1,1,chela,28.2,0.3013,0.3151,53,
2018,8,2,GP099F,29,1,1,chela,27.34,0.3005,0.3129,49,
2018,8,2,GP123A1,27,1,1,chela,26.92,0.3032,0.3176,65,
2018,8,2,GP123A1,31,1,1,chela,29.96,0.3017,0.3159,66,
2018,8,2,GP133F,4,1,1,chela,34.2,0.3076,0.3214,64,
2018,8,2,GP133F,5,1,1,chela,30.49,0.3066,0.3186,67,
2018,8,2,GP141F,1,1,1,chela,27.05,0.3057,0.3171,62,
2018,8,2,GP141F,2,1,1,chela,30.17,0.2992,0.3112,53,
2018,8,2,GP141F,23,1,2,chela,29.2,0.3377,0.3529,65,
2018,8,2,GP154F,17,1,1,chela,31.11,0.3086,0.3224,73,
2018,8,2,GP154F,55,1,4,chela,12.13,0.3722,0.3643,62,
2018,8,2,GP154F,64,1,1,chela,22.39,0.3185,0.3303,58,
2018,8,3,GP094F,2,1,1,chela,28.86,0.3154,0.3208,54,
2018,8,3,GP094F,4,1,1,chela,28.94,0.3069,0.3148,51,
2018,8,3,GP105F,1,1,1,chela,36.95,0.3169,0.3278,60,
2018,8,3,GP105F,2,1,1,chela,30.5,0.3113,0.3239,63,
2018,8,3,GP106F,1,1,1,chela,39.99,0.3014,0.3165,55,
2018,8,3,GP106F,6,1,1,chela,40.11,0.3036,0.3196,57,
2018,8,3,GP113F,3,1,2,chela,33.83,0.3283,0.3408,73,
2018,8,3,GP113F,6,1,1,chela,38.88,0.3002,0.3152,63,
2018,8,3,GP113F,25,1,1,chela,39.55,0.3031,0.3177,45,
2018,8,3,GP113F,29,1,2,chela,24.1,0.351,0.3582,66,
2018,8,3,GP124F,5,1,1,chela,34.42,0.2999,0.3147,53,
2018,8,3,GP124F,6,1,1,chela,30.06,0.3168,0.3294,58,
2018,8,3,GP124F,7,1,2M,chela,31.31,0.3488,0.3546,78,
2018,8,3,GP124F,8,1,2M,chela,26.27,0.3427,0.3507,66,
2018,8,3,GP124F,9,1,2,chela,24.37,0.3376,0.3475,63,
2018,8,3,GP124F,31,1,2,chela,21.21,0.3673,0.3661,63,
2018,8,3,GP125F,11,1,1,chela,44.02,0.3251,0.3359,22,Pince bris‚e
2018,8,3,GP125F,14,1,1,chela,41.85,0.3124,0.3239,36,Pince bris‚e
2018,8,3,GP125F,15,1,1,chela,36.48,0.3052,0.318,52,
2018,8,3,GP125F,19,1,2,chela,26.93,0.3389,0.3472,66,
2018,8,3,GP127F,1,1,1,chela,44.93,0.3163,0.3293,52,
2018,8,3,GP127F,2,1,1,chela,34.34,0.3036,0.3178,55,
2018,8,3,GP127F,35,1,2,chela,24.98,0.3374,0.3486,76,
2018,8,3,GP127F,73,1,2M,chela,25.03,0.3382,0.3516,76,
2018,8,3,GP127F,80,1,2,chela,24.67,0.3401,0.3486,68,
2018,8,4,GP024F,23,1,1,chela,30.3,0.3077,0.3189,49,
2018,8,4,GP024F,31,1,1,chela,28.12,0.3119,0.3222,56,
2018,8,4,GP026F,30,1,1,chela,21.7,0.3213,0.3283,60,
2018,8,4,GP026F,46,1,2M,chela,22.08,0.3468,0.354,84,
2018,8,4,GP026F,47,1,1,chela,28.37,0.3139,0.3253,65,
2018,8,4,GP026F,69,1,5,chela,14.61,0.3778,0.3676,73,
2018,8,4,GP036F,1,1,1,chela,27.93,0.3083,0.3199,68,
2018,8,4,GP036F,2,1,1,chela,23.41,0.3062,0.3122,43,
2018,8,4,GP046F,16,1,1,chela,30.64,0.3029,0.3156,61,
2018,8,4,GP046F,17,1,1,chela,26.49,0.3086,0.3222,67,
2018,8,4,GP049F,1,1,1,chela,35.36,0.3229,0.3375,22,
2018,8,4,GP049F,2,1,1,chela,33.24,0.3113,0.3261,52,
2018,8,4,GP049F,3,1,4,chela,21.78,0.3671,0.3688,64,
2018,8,4,GP049F,6,1,4,chela,19.83,0.3663,0.3661,74,
2018,8,4,GP061F,1,1,2,chela,27.33,0.3282,0.3433,83,
2018,8,4,GP061F,2,1,2,chela,27.49,0.3392,0.3494,87,
2018,8,4,GP061F,3,1,1,chela,29.64,0.3071,0.3207,54,
2018,8,4,GP061F,12,1,2M,chela,26.87,0.3348,0.3504,85,
2018,8,4,GP061F,27,1,4,chela,19.55,0.366,0.3741,70,
2018,8,4,GP068F,2,1,1,chela,28.68,0.3059,0.319,69,
2018,8,4,GP068F,3,1,4,chela,18.47,0.3674,0.3715,80,
2018,8,4,GP068F,25,1,1,chela,23.41,0.3291,0.3398,62,
2018,8,4,GP076F,2,1,1,chela,25.92,0.3048,0.3184,59,
2018,8,4,GP076F,6,1,2,chela,25.41,0.3407,0.3525,76,
2018,8,4,GP076F,20,1,4,chela,22.23,0.3647,0.3696,79,
2018,8,4,GP076F,21,1,2M,chela,16.22,0.3704,0.3703,59,
2018,8,4,GP076F,22,1,1,chela,24.16,0.3115,0.3243,67,
2018,8,4,GP076F,23,1,2,chela,24.63,0.3517,0.3628,81,
2018,8,4,GP076F,51,1,2M,chela,16.66,0.3577,0.3625,66,
2018,8,4,GP076F,80,1,5,chela,10.87,0.3825,0.3637,68,
2018,8,4,GP077F,1,1,1,chela,26.35,0.3178,0.3322,58,
2018,8,4,GP077F,2,1,1,chela,32.41,0.3089,0.3254,57,
2018,8,4,GP088F,1,1,1,chela,25.05,0.3045,0.3162,54,
2018,8,4,GP088F,2,1,1,chela,30.9,0.3062,0.3175,56,
2018,8,4,GP088F,6,1,2,chela,30.16,0.336,0.3499,75,
2018,8,4,GP088F,12,1,2,chela,27.41,0.3266,0.345,83,
2018,8,5,GP016F,1,1,1,chela,23.18,0.3063,0.318,62,
2018,8,5,GP016F,10,1,1,chela,21.09,0.3088,0.3168,56,
2018,8,5,GP018F,1,1,1,chela,33.34,0.3071,0.3235,56,
2018,8,5,GP018F,2,1,1,chela,29.27,0.3074,0.3243,65,
2018,8,5,GP018F,45,1,5,chela,14.65,0.4011,0.3824,82,
2018,8,5,GP019F,2,1,1,chela,28.84,0.2988,0.3134,55,
2018,8,5,GP019F,3,1,1,chela,32.27,0.3198,0.3339,56,
2018,8,5,GP019F,8,1,4,chela,19.43,0.3514,0.3601,69,
2018,8,5,GP019F,13,1,2M,chela,30.04,0.3333,0.3459,89,
2018,8,5,GP019F,14,1,2M,chela,20.57,0.3789,0.3784,84,
2018,8,5,GP019F,24,1,4,chela,18.21,0.3658,0.3683,76,
2018,8,5,GP019F,33,1,3M,chela,25.43,0.3463,0.3558,94,
2018,8,5,GP023F,1,1,1,chela,28.53,0.3042,0.3183,58,
2018,8,5,GP023F,2,1,1,chela,23.26,0.3063,0.3193,58,
2018,8,5,GP023F,69,1,2,chela,22.86,0.3279,0.3368,77,
2018,8,5,GP023F,77,1,2M,chela,20.31,0.3583,0.364,66,
2018,8,5,GP025F,1,1,1,chela,30.1,0.3149,0.3267,57,
2018,8,5,GP025F,2,1,1,chela,23.12,0.3126,0.3206,58,
2018,8,5,GP025F,19,1,2m,chela,23.63,0.3385,0.3493,90,
2018,8,5,GP028F,1,1,3M,chela,30.77,0.341,0.3553,87,
2018,8,5,GP028F,2,1,3M,chela,31.17,0.3464,0.3578,89,
2018,8,5,GP028F,4,1,1,chela,23.57,0.3022,0.3146,51,
2018,8,5,GP028F,7,1,2M,chela,17.58,0.3494,0.3563,67,
2018,8,5,GP028F,8,1,1,chela,22.24,0.3011,0.3132,56,
2018,8,5,GP028F,24,1,4,chela,19.17,0.3759,0.3833,89,
2018,8,5,GP032F,1,1,1,chela,34.38,0.3091,0.3232,56,
2018,8,5,GP032F,2,1,3M,chela,26.52,0.352,0.3616,87,
2018,8,5,GP032F,3,1,3M,chela,29.75,0.3512,0.3615,91,
2018,8,5,GP032F,11,1,1,chela,33.07,0.3125,0.3248,56,
2018,8,5,GP048F,2,1,1,chela,29.86,0.3024,0.3168,54,
2018,8,5,GP048F,3,1,1,chela,36.2,0.3091,0.3232,53,
2018,8,5,GP050F,1,1,1,chela,24.11,0.3018,0.3155,60,
2018,8,5,GP050F,2,1,1,chela,19.22,0.3119,0.3226,59,
2018,8,5,GP050F,4,1,4,chela,15.14,0.3825,0.382,73,
2018,8,5,GP050F,25,1,5,chela,12.03,0.3954,0.3928,78,
2018,8,5,GP050F,26,1,5,chela,22.42,0.3762,0.3789,80,
2018,8,5,GP050F,45,1,3M,chela,21,0.3686,0.3743,83,
2018,8,5,GP067F,1,1,1,chela,28.5,0.3057,0.3209,66,
2018,8,5,GP067F,3,1,4,chela,19.43,0.3565,0.3634,73,
2018,8,5,GP067F,8,1,4,chela,22.82,0.3629,0.3709,72,
2018,8,5,GP067F,15,1,5,chela,14.46,0.3962,0.3836,65,
2018,8,5,GP067F,18,1,1,chela,30.6,0.3145,0.329,53,
2018,8,6,GP022F,1,1,3M,chela,33.55,0.3276,0.3418,83,
2018,8,6,GP022F,2,1,3M,chela,30.23,0.3152,0.329,84,
2018,8,6,GP022F,3,1,1,chela,28.09,0.3058,0.3196,59,
2018,8,6,GP022F,5,1,4,chela,25.25,0.3634,0.3706,84,
2018,8,6,GP022F,10,1,1,chela,33.86,0.302,0.3162,55,
2018,8,6,GP030F,1,1,1,chela,39.42,0.3079,0.3236,68,
2018,8,6,GP030F,2,1,3M,chela,35.2,0.3241,0.3381,90,
2018,8,6,GP030F,3,1,4,chela,21.6,0.357,0.3685,62,
2018,8,6,GP030F,4,1,3M,chela,27.58,0.3294,0.3417,83,
2018,8,6,GP030F,11,1,1,chela,34.59,0.3091,0.3251,59,
2018,8,6,GP030F,27,1,2M,chela,32.62,0.334,0.3465,79,
2018,8,6,GP030F,28,1,4,chela,28.35,0.3648,0.3717,82,
2018,8,6,GP030F,31,1,3,chela,32.54,0.3285,0.3417,84,
2018,8,6,GP040F,1,1,1,chela,33.19,0.3003,0.3134,65,
2018,8,6,GP040F,2,1,1,chela,36.29,0.309,0.3233,66,
2018,8,6,GP040F,3,1,2M,chela,33.72,0.3216,0.3342,75,
2018,8,6,GP040F,4,1,3M,chela,29.27,0.3433,0.3549,81,
2018,8,6,GP040F,5,1,3M,chela,28.86,0.3436,0.3553,86,
2018,8,6,GP040F,6,1,4,chela,20.58,0.3717,0.3734,84,
2018,8,6,GP041F,1,1,1,chela,33.84,0.3081,0.3224,65,
2018,8,6,GP041F,2,1,1,chela,34.84,0.304,0.3191,50,
2018,8,6,GP041F,3,1,4,chela,28.42,0.3673,0.371,89,
2018,8,6,GP041F,6,1,4,chela,17.68,0.3707,0.3774,78,
2018,8,6,GP041F,7,1,4,chela,22.66,0.3645,0.3694,85,
2018,8,6,GP042F,1,1,3M,chela,32.83,0.3295,0.343,88,
2018,8,6,GP042F,2,1,1,chela,30.8,0.3009,0.314,58,
2018,8,6,GP042F,3,1,3M,chela,35.68,0.3376,0.3511,89,
2018,8,6,GP042F,5,1,2M,chela,21.91,0.3358,0.3438,66,
2018,8,6,GP042F,6,1,1,chela,37.47,0.3086,0.3218,51,
2018,8,6,GP042F,9,1,2M,chela,20.23,0.3608,0.3641,69,
2018,8,6,GP047A1,1,1,1,chela,39.7,0.3083,0.3196,53,
2018,8,6,GP047A1,3,1,1,chela,32.45,0.3227,0.3281,51,PINCE BRISê
2018,8,6,GP051F,4,1,3M,chela,29.24,0.3401,0.3515,84,
2018,8,6,GP051F,5,1,2M,chela,21.26,0.3351,0.3453,67,
2018,8,6,GP051F,6,1,2M,chela,18.15,0.3587,0.3603,56,
2018,8,6,GP051F,10,1,1,chela,38.12,0.3093,0.3232,45,
2018,8,6,GP051F,11,1,3M,chela,33.73,0.3511,0.362,92,
2018,8,6,GP051F,13,1,1,chela,31.49,0.3094,0.3231,56,
2018,8,6,GP051F,38,1,5,chela,17.76,0.4021,0.3908,75,
2018,8,6,GP052F,1,1,1,chela,32.44,0.3004,0.314,34,
2018,8,6,GP052F,2,1,1,chela,37.99,0.3099,0.3243,62,
2018,8,6,GP052F,11,1,2M,chela,22.71,0.3472,0.3538,70,
2018,8,6,GP052F,13,1,3M,chela,35.85,0.3256,0.3386,89,
2018,8,6,GP052F,14,1,4,chela,25.69,0.3514,0.3608,86,
2018,8,6,GP052F,16,1,2M,chela,22.35,0.3374,0.3474,67,
2018,8,6,GP052F,39,1,4,chela,19.91,0.3362,0.3457,65,
2018,8,6,GP052F,40,1,2M,chela,17.25,0.3532,0.3581,63,
2018,8,6,GP052F,44,1,3M,chela,31.1,0.3312,0.3441,71,
2018,8,6,GP063F,2,1,3,chela,32.75,0.3341,0.3475,84,
2018,8,6,GP063F,3,1,1,chela,34.05,0.3016,0.317,58,
2018,8,6,GP063F,8,1,3m,chela,32.61,0.3354,0.3483,83,
2018,8,6,GP063F,9,1,3m,chela,26.55,0.3493,0.3598,84,
2018,8,6,GP063F,10,1,1,chela,29.78,0.2972,0.3108,54,
2018,8,6,GP063F,20,1,2m,chela,27.77,0.3364,0.3503,77,
2018,8,6,GP066F,1,1,1,chela,35.64,0.3031,0.3168,56,
2018,8,6,GP066F,2,1,1,chela,35.44,0.3085,0.3224,57,
2018,8,6,GP066F,3,1,3M,chela,31.7,0.3442,0.3568,86,
2018,8,6,GP066F,4,1,2M,chela,20.25,0.3412,0.3478,54,
2018,8,6,GP066F,5,1,2M,chela,20.88,0.3561,0.3608,65,
2018,8,6,GP066F,49,1,3M,chela,23.87,0.3492,0.3599,81,
2018,8,6,GP066F,129,1,2,chela,18.14,0.3546,0.3596,61,
2018,8,6,GP070F,10,1,1,chela,31.68,0.3054,0.3196,55,
2018,8,6,GP070F,13,1,3M,chela,24.06,0.3645,0.3728,84,
2018,8,6,GP070F,14,1,2M,chela,26.33,0.3701,0.3744,66,
2018,8,6,GP070F,15,1,4,chela,21.2,0.3745,0.3766,79,
2018,8,6,GP070F,18,1,2M,chela,30.14,0.3325,0.3452,85,
2018,8,6,GP070F,19,1,3M,chela,32.55,0.3288,0.3419,86,
2018,8,6,GP070F,20,1,1,chela,36.26,0.3063,0.3228,55,
2018,8,6,GP070F,64,1,4,chela,18.33,0.3794,0.3843,83,
2018,8,7,GP039F,1,1,1,chela,30.9,0.3034,0.3196,58,
2018,8,7,GP039F,2,1,1,chela,30.32,0.3113,0.3224,46,
2018,8,7,GP039F,3,1,2M,chela,26.02,0.3266,0.338,82,
2018,8,7,GP039F,5,1,2M,chela,22.75,0.3412,0.3504,75,
2018,8,7,GP039F,11,1,4,chela,22.86,0.3518,0.36,82,
