"date","zone","tow.number","tow.id","valid","start.time.logbook","stop.time.logbook","start.time","stop.time","haul.time","touchdown.time","liftoff.time","longitude","latitude","longitude.start","longitude.stop","latitude.start","latitude.stop","longitude.start.logbook","longitude.stop.logbook","latitude.start.logbook","latitude.stop.logbook","depth","bottom.temperature","warp","swept.area","swept.area.method","groundfish.sample","water.sample","comment"
"2020-07-16","F",2,"GP335F",1,"06:24:11","06:29:13","        ","        ","06:32:08","06:23:53","06:30:54",NA,NA,-6049.8729,-6050.1353,4746.1786,4746.1286,-6049.895,-6050.135,4746.1747,4746.1286,38,0.35,125,2425,"model",0,NA,"Stable ~ 2.1 kts"
"2020-07-16","F",3,"GP344F",1,"07:46:48","07:51:49","        ","        ","07:55:21","07:46:38","07:54:35",NA,NA,-6040.5086,-6040.761,4744.6305,4744.6348,-6040.52,-6040.761,4744.6302,4744.6348,46,0.87,150,2468,"average",0,NA,"Accroche et force ~ 2.1 kts"
"2020-07-16","F",4,"GP341F",1,"08:58:36","09:03:38","        ","        ","09:12:31","08:58:32","09:09:31",NA,NA,-6041.7515,-6041.952,4748.897,4748.8021,-6041.757,-6041.952,4748.8951,4748.8021,105,5.27,325,2642,"model",0,NA,"Stable ~ 2.1 kts"
"2020-07-16","F",5,"GP331F",1,"10:19:46","10:24:47","        ","        ","10:27:28","10:19:43","10:26:50",NA,NA,-6053.8574,-6054.1068,4749.9241,4749.9251,-6053.859,-6054.106,4749.9239,4749.9251,40,0.07,125,2175,"model",0,NA,"Stable ~ 2.1 kts"
"2020-07-16","F",6,"GP326F",1,"11:03:53","11:08:53","        ","        ","11:11:15","11:03:47","11:10:27",NA,NA,-6058.5105,-6058.7633,4749.2757,4749.2486,-6058.514,-6058.763,4749.2752,4749.2486,31,0.27,100,2645,"model",0,NA,"Stable ~ 2.2 kts"
"2020-07-16","F",7,"GP315F",1,"11:54:39","11:59:40","        ","        ","12:01:23","11:54:31","12:00:58",NA,NA,-6105.1162,-6105.3681,4750.6839,4750.7218,-6105.122,-6105.368,4750.6842,4750.7218,29,0.79,75,2616,"model",0,NA,"Accroche et force ~ 2.2 kts"
"2020-07-16","F",8,"GP324F",1,"13:10:56","13:15:58","        ","        ","13:19:26","13:10:32","13:18:33",NA,NA,-6057.7159,-6057.9593,4754.9426,4754.8589,-6057.737,-6057.959,4754.9351,4754.8589,48,0.39,150,2309,"average",0,NA,"Stable ~ 2.2 kts"
"2020-07-16","F",9,"GP313F",1,"14:19:27","14:24:28","        ","        ","14:27:53","14:19:04","14:27:21",NA,NA,-6106.0835,-6106.3286,4758.0329,4758.1314,-6106.113,-6106.328,4758.0453,4758.1314,46,0.07,150,2155,"average",0,NA,"Stable ~ 2.2 kts"
"2020-07-16","12",10,"GP320F",1,"15:28:47","15:33:49","        ","        ","15:49:02","15:27:50","15:44:04",NA,NA,-6100.9435,-6100.686,4801.9499,4802.0568,-6100.9,-6100.686,4801.9673,4802.0568,160,6.72,475,2155,"average",0,NA,"Stable ~ 2.2 kts"
"2020-07-16","12",11,"GP312F",1,"16:43:46","16:48:46","        ","        ","17:03:11","16:43:15","16:59:10",NA,NA,-6106.458,-6106.7037,4804.6654,4804.7536,-6106.48,-6106.703,4804.6744,4804.7536,162,6.69,475,2155,"average",0,NA,"Force a cause de vase ~ 2.2 kts"
"2020-07-16","12",12,"GP316F",1,"18:32:26","18:37:25","        ","        ","18:56:05","18:33:21","18:48:28",NA,NA,-6114.381,-6114.5251,4811.6846,4811.7834,-6114.347,-6114.525,4811.6605,4811.7834,209,6.16,525,2207,"average",0,NA,"Force a cause de vase ~ 2.1 kts"
"2020-07-16","E",13,"GP295F",1,"20:14:26","20:19:28","        ","        ","20:22:45","20:14:33","20:21:46",NA,NA,-6124.1207,-6124.3502,4805.6077,4805.6786,-6124.117,-6124.35,4805.6061,4805.6786,51,0.67,150,1726,"model",0,NA,"Stable ~ 2.1 kts"
"2020-07-17","12",1,"GP293F",1,"05:33:07","05:38:09","        ","        ","05:55:41","05:32:20","05:49:58",NA,NA,-6125.7581,-6125.4821,4813.2766,4813.214,-6125.715,-6125.481,4813.266,4813.2147,197,6.3,525,2191,"average",0,NA,"Force a cause de vase ~ 2.2 kts"
"2020-07-17","E",2,"GP282F",1,"07:44:43","07:49:45","        ","        ","08:07:26","07:42:33","08:02:20",NA,NA,-6136.5747,-6136.1441,4813.509,4813.4265,-6136.387,-6136.144,4813.4752,4813.4265,175,6.69,525,2257,"average",0,NA,"Force a cause de vase ~ 2.2 kts"
"2020-07-17","E",3,"GP273F",1,"09:26:19","09:31:18","        ","        ","09:34:48","09:26:18","09:33:11",NA,NA,-6142.4978,-6142.3131,4806.7658,4806.8877,-6142.497,-6142.313,4806.7662,4806.8877,51,1.18,150,2639,"model",0,NA,"Stable ~ 2.2 kts"
"2020-07-17","E",4,"GP269F",1,"11:31:56","11:37:02","        ","        ","11:53:55","11:32:20","11:49:03",NA,NA,-6147.1652,-6146.9426,4817.0603,4816.9924,-6147.178,-6146.942,4817.0669,4816.9924,184,6.65,525,2363,"average",0,NA,"Force a cause de vase ~ 2.2 kts"
"2020-07-17","E",5,"GP260F",1,"12:59:01","13:04:01","        ","        ","13:13:51","12:59:02","13:10:02",NA,NA,-6153.1323,-6152.8858,4814.1158,4814.055,-6153.133,-6152.885,4814.1162,4814.055,121,5.52,375,2772,"model",0,NA,"Force a cause de vase ~ 2.1 kts"
"2020-07-17","E",6,"GP251F",1,"13:55:17","14:00:20","        ","        ","14:09:07","13:55:20","14:06:03",NA,NA,-6156.9861,-6157.2305,4814.9299,4814.9746,-6156.987,-6157.23,4814.9309,4814.9746,108,5.34,325,1845,"model",0,NA,"Force ~ 2.2 kts"
"2020-07-17","E",7,"GP250F",1,"14:46:58","14:51:58","        ","        ","15:03:11","14:46:45","14:58:40",NA,NA,-6156.479,-6156.4025,4817.1712,4817.3433,-6156.475,-6156.402,4817.1774,4817.3433,140,6.27,425,2507,"average",0,NA,"Force a cause de vase ~ 2.2 kts"
"2020-07-17","E",8,"GP235F",1,"16:45:58","16:50:59","        ","        ","17:08:30","16:46:49","17:00:41",NA,NA,-6206.7668,-6206.636,4824.1232,4824.236,-6206.792,-6206.634,4824.1029,4824.2388,200,6.41,525,2503,"average",0,NA,"Force a cause de vase ~ 2.2 kts"
"2020-07-17","E",9,"GP237F",1,"18:16:06","18:21:05","        ","        ","18:33:47","18:15:51","18:29:17",NA,NA,-6206.547,-6206.4614,4821.5141,4821.6867,-6206.543,-6206.461,4821.5232,4821.6867,153,6.48,450,2503,"average",0,NA,"Force ~ 2.2 kts"
"2020-07-17","12",10,"GP208F",1,"20:30:20","20:35:22","        ","        ","20:38:06","20:30:22","20:37:00",NA,NA,-6222.6995,-6222.6295,4815.9868,4816.1548,-6222.699,-6222.629,4815.9874,4816.1548,40,-0.01,125,2975,"model",0,NA,"Stable ~ 2.2 kts"
"2020-07-18","12",1,"GP120F",1,"05:45:12","05:50:14","        ","        ","06:07:44","05:44:28","06:01:24",NA,NA,-6314.7473,-6314.4605,4854.6247,4854.6686,-6314.709,-6314.457,4854.6323,4854.6693,210,6.44,525,2673,"average",0,NA,"Force a cause de vase ~ 2.2 kts"
"2020-07-18","12",2,"GP098F",1,"08:06:46","08:11:47","        ","        ","08:28:43","08:07:18","08:22:32",NA,NA,-6325.5422,-6325.3748,4855.9183,4856.0201,-6325.559,-6325.374,4855.9078,4856.0201,190,6.41,525,2604,"average",0,NA,"Force a cause de vase ~ 2.2 kts"
"2020-07-18","12",3,"GP081F",0,"10:03:44","10:08:48","        ","        ","10:23:41","        ","        ",NA,NA,NA,NA,NA,NA,-6335.534,-6335.525,4853.8825,4854.0486,166,NA,500,NA,"",0,NA,"Chalut melee - stable ~ 2.2 kts"
"2020-07-18","12",4,"GP081FR",1,"11:33:25","11:38:22","        ","        ","11:53:55","11:31:18","11:48:01",NA,NA,-6335.6093,-6335.5959,4853.8242,4854.0836,-6335.591,-6335.595,4853.9141,4854.0836,166,6.23,500,2629,"average",0,NA,"Stable ~ 2.2 kts"
"2020-07-18","12",5,"GP072F",0,"13:23:39","13:28:37","        ","        ","13:36:55","        ","        ",NA,NA,NA,NA,NA,NA,-6345.839,-6345.772,4849.251,4849.4113,100,4.8,300,NA,"",0,NA,"Chalut déchiré (belly) - accroche et force ~ 2.2 kts"
"2020-07-18","12",6,"GP072A1",1,"15:29:14","15:34:15","        ","        ","15:42:33","15:29:16","15:37:58",NA,NA,-6340.14,-6340.143,4844.2896,4844.4659,-6340.14,-6340.142,4844.2907,4844.4706,82,4.29,250,2498,"model",0,NA,"Accroche et force ~ 2.2 kts"
"2020-07-18","12",7,"GP085F",1,"17:08:51","17:13:54","        ","        ","17:24:53","17:09:04","17:21:06",NA,NA,-6333.24,-6333.2164,4849.9954,4850.1631,-6333.242,-6333.216,4849.9901,4850.1631,135,5.54,400,2629,"average",0,NA,"Force a cause de vase ~ 2.2 kts"
"2020-07-18","12",8,"GP109F",1,"18:42:42","18:47:42","        ","        ","19:04:50","18:42:17","18:57:44",NA,NA,-6321.0804,-6320.8161,4850.3044,4850.3709,-6321.059,-6320.816,4850.308,4850.3709,168,6.3,500,2535,"average",0,NA,"Force a cause de vase ~ 2.2 kts"
"2020-07-18","12",9,"GP122F",1,"20:08:41","20:13:42","        ","        ","20:26:27","20:08:24","20:22:24",NA,NA,-6316.3788,-6316.1057,4845.2514,4845.2062,-6316.361,-6316.105,4845.246,4845.2062,147,5.95,450,2589,"average",0,NA,"Stable ~ 2.2 kts"
"2020-07-19","12",1,"GP121F",1,"05:27:33","05:32:34","        ","        ","05:43:18","05:27:45","05:38:53",NA,NA,-6314.4018,-6314.1823,4840.0627,4840.1441,-6314.41,-6314.18,4840.0601,4840.145,126,5.38,375,2818,"model",0,NA,"Force a cause de vase ~ 2.2 kts"
"2020-07-19","E",2,"GP142F",1,"06:54:46","06:59:49","        ","        ","07:16:35","06:54:37","07:10:09",NA,NA,-6306.4518,-6306.3856,4842.7857,4842.9609,-6306.447,-6306.385,4842.7936,4842.9609,185,6.51,525,2696,"average",0,NA,"Force a cause de vase ~ 2.2 kts"
"2020-07-19","E",3,"GP156F",1,"08:56:21","09:01:24","        ","        ","09:19:12","08:56:32","09:10:22",NA,NA,-6255.9419,-6255.7388,4835.5542,4835.4638,-6255.949,-6255.738,4835.558,4835.4638,200,6.4,525,2846,"average",0,NA,"Force a cause de vase ~ 2.1 kts"
"2020-07-19","12",4,"GP134F",1,"11:02:34","11:07:35","        ","        ","11:17:30","11:02:27","11:14:03",NA,NA,-6308.9191,-6308.7352,4833.9533,4833.8256,-6308.913,-6308.734,4833.9495,4833.825,119,5.16,350,2305,"model",0,NA,"Stable ~ 2.2 kts"
"2020-07-19","E",5,"GP139F",1,"12:06:51","12:11:52","        ","        ","12:28:49","12:06:53","12:18:58",NA,NA,-6308.3252,-6308.129,4833.0707,4832.9584,-6308.324,-6308.129,4833.0705,4832.9584,121,5.08,375,1926,"model",0,NA,"Force ~ 2.2 kts"
"2020-07-19","12",6,"GP115F",1,"14:11:56","14:16:57","        ","        ","14:21:54","14:11:49","14:19:36",NA,NA,-6318.0935,-6318.301,4826.4584,4826.3431,-6318.1,-6318.305,4826.4557,4826.3416,54,NA,150,3609,"model",0,NA,"Accroche et force ~ 2.2 kts"
"2020-07-19","12",7,"GP130F",1,"15:40:55","15:45:57","        ","        ","15:48:25","15:40:38","15:47:22",NA,NA,-6310.4211,-6310.2007,4818.5997,4818.4647,-6310.402,-6310.2,4818.5879,4818.4647,28,1.03,75,2557,"model",0,NA,"Stable ~ 2.2 kts"
"2020-07-19","12",8,"GP152F",1,"16:57:27","17:02:28","        ","        ","17:05:18","16:57:14","17:03:53",NA,NA,-6258.7144,-6258.6536,4818.5882,4818.761,-6258.711,-6258.653,4818.5976,4818.761,43,0.15,125,2952,"average",0,NA,"Stable ~ 2.2 kts"
"2020-07-19","12",9,"GP138F",1,"17:44:55","17:49:55","        ","        ","17:52:35","17:44:47","17:51:17",NA,NA,-6257.823,-6257.7276,4823.1182,4823.2851,-6257.821,-6257.727,4823.1223,4823.2851,45,0.39,125,2753,"average",0,NA,"Stable ~ 2.2 kts"
"2020-07-19","12",10,"GP166F",1,"18:41:25","18:46:24","        ","        ","18:53:53","18:41:21","18:50:45",NA,NA,-6250.9,-6250.6664,4825.022,4824.9455,-6250.896,-6250.666,4825.0214,4824.9455,93,4.87,275,2530,"model",0,NA,"Stable ~ 2.1 kts"
"2020-07-19","E",11,"GP187F",1,"20:11:21","20:16:23","        ","        ","20:32:24","20:11:09","20:26:36",NA,NA,-6238.2279,-6238.0496,4826.6828,4826.8193,-6238.218,-6238.049,4826.6904,4826.8193,188,6.57,525,2883,"average",0,NA,"Force a cause de vase ~ 2.1 kts"
"2020-07-20","F",1,"GP203F",1,"05:45:09","05:50:11","        ","        ","06:02:59","05:42:14","05:57:28",NA,NA,-6226.5648,-6226.289,4821.4538,4821.7281,-6226.478,-6226.289,4821.6159,4821.7281,144,6.3,425,2810,"average",0,NA,"Force a cause de vase ~ 2.2 kts"
"2020-07-20","12",2,"GP181F",1,"07:54:59","08:00:03","        ","        ","08:03:14","07:54:48","08:01:40",NA,NA,-6240.6016,-6240.4159,4818.4325,4818.5669,-6240.594,-6240.415,4818.4398,4818.5669,50,0.15,150,3321,"model",0,NA,"Force ~ 2.1 kts"
"2020-07-20","12",3,"GP165F",0,"09:25:01","09:30:04","        ","        ","09:32:46","        ","        ",NA,NA,NA,NA,NA,NA,-6250.737,-6250.564,4819.7253,4819.8517,45,0.02,125,NA,"",0,NA,"Chalut déchiré (belly) - accroche et force ~ 2.2 kts"
"2020-07-20","12",4,"GP165A1",1,"11:01:41","11:06:44","        ","        ","11:09:37","11:01:08","11:08:35",NA,NA,-6254.974,-6254.7894,4818.9621,4819.1212,-6254.953,-6254.789,4818.9843,4819.1212,42,0.1,125,3376,"model",0,NA,"Force ~ 2.1 kts"
"2020-07-20","12",5,"GP153F",1,"12:28:42","12:33:41","        ","        ","12:36:14","12:28:35","12:35:11",NA,NA,-6258.1661,-6258.0419,4812.506,4812.6613,-6258.163,-6258.041,4812.5091,4812.6613,40,0.35,125,2338,"model",0,NA,"Stable ~ 2.2 kts"
"2020-07-20","12",6,"GP169F",1,"13:40:53","13:45:55","        ","        ","13:48:59","13:40:46","13:47:18",NA,NA,-6250.9601,-6250.798,4810.6637,4810.8011,-6250.954,-6250.798,4810.6695,4810.8011,41,0.35,125,2556,"model",0,NA,"Stable ~ 2.2 kts"
"2020-07-20","12",7,"GP180F",1,"14:56:38","15:01:40","        ","        ","15:05:02","14:56:27","15:03:23",NA,NA,-6241.171,-6241.08,4811.2186,4811.3843,-6241.166,-6241.08,4811.2276,4811.3843,50,1.11,150,3506,"model",0,NA,"Stable ~ 2.1 kts"
"2020-07-20","12",8,"GP185F",1,"15:50:59","15:56:00","        ","        ","15:59:29","15:50:58","15:57:34",NA,NA,-6239.8876,-6239.7846,4808.5652,4808.7181,-6239.887,-6239.784,4808.5656,4808.7181,54,1.19,150,3644,"model",0,NA,"Stable ~ 2.2 kts"
"2020-07-20","12",9,"GP201F",1,"16:48:11","16:53:13","        ","        ","16:55:51","16:48:05","16:54:44",NA,NA,-6232.5303,-6232.338,4810.3471,4810.4607,-6232.522,-6232.336,4810.3524,4810.4615,40,0.27,125,2657,"model",0,NA,"Stable ~ 2.2 kts"
"2020-07-20","12",10,"GP207F",1,"18:19:03","18:24:06","        ","        ","18:26:51","18:18:56","18:25:17",NA,NA,-6217.7676,-6217.601,4808.8656,4809.0028,-6217.762,-6217.601,4808.8733,4809.0028,43,0.19,125,2638,"model",0,NA,"Stable ~ 2.2 kts"
"2020-07-20","12",11,"GP227F",1,"19:03:48","19:08:50","        ","        ","19:12:03","19:03:08","19:10:45",NA,NA,-6212.7674,-6212.4847,4810.8459,4810.9216,-6212.729,-6212.484,4810.8634,4810.9216,46,0.31,150,2266,"model",0,NA,"Stable ~ 2.2 kts"
"2020-07-20","12",12,"GP230F",1,"19:52:22","19:57:22","        ","        ","20:01:32","19:52:13","19:59:25",NA,NA,-6211.033,-6210.811,4808.2777,4808.3571,-6211.029,-6210.811,4808.2826,4808.3571,48,0.27,150,1797,"model",0,NA,"Stable ~ 2.2 kts"
"2020-07-21","12",1,"GP217F",1,"05:21:02","05:26:04","        ","        ","05:29:00","05:20:56","05:27:31",NA,NA,-6222.7268,-6222.4806,4804.7135,4804.6611,-6222.718,-6222.48,4804.7125,4804.6611,40,0.1,125,2766,"model",0,NA,"Stable ~ 2.1 kts"
"2020-07-21","12",2,"GP200F",1,"06:29:22","06:34:23","        ","        ","06:36:40","06:29:11","06:35:44",NA,NA,-6230.31,-6230.0627,4803.8847,4803.9242,-6230.301,-6230.062,4803.8867,4803.9242,33,0.35,100,2745,"model",0,NA,"Stable ~ 2.1 kts"
"2020-07-21","12",3,"GP218F",1,"07:23:31","07:28:31","        ","        ","07:31:30","07:23:43","07:29:58",NA,NA,-6222.1634,-6221.9415,4802.0469,4801.9824,-6222.173,-6221.941,4802.0494,4801.9824,44,0.31,125,2505,"model",0,NA,"Stable ~ 2.1 kts"
"2020-07-21","12",4,"GP236F",1,"08:18:48","08:23:48","        ","        ","08:26:40","08:18:37","08:25:41",NA,NA,-6215.6186,-6215.3801,4757.8297,4757.7482,-6215.61,-6215.377,4757.8265,4757.748,41,0.63,125,2567,"model",0,NA,"Accroche et force ~ 2.2 kts"
"2020-07-21","12",5,"GP243F",1,"09:44:12","09:49:14","        ","        ","09:51:47","09:43:58","09:51:31",NA,NA,-6200.6189,-6200.3568,4800.7054,4800.6875,-6200.601,-6200.356,4800.707,4800.687,32,0.47,100,2830,"model",0,NA,"Stable ~ 2.2 kts"
"2020-07-21","12",6,"GP249F",0,"10:31:04","10:36:06","        ","        ","10:38:10","        ","        ",NA,NA,NA,NA,NA,NA,-6159.029,-6158.841,4802.8591,4802.74,33,0.35,100,NA,"",0,NA,"Chalut déchiré (belly) - accroche et force ~ 2.2 kts"
"2020-07-21","12",7,"GP249A1",1,"11:56:47","12:01:48","        ","        ","12:04:30","11:56:40","12:03:09",NA,NA,-6203.6348,-6203.4642,4807.7416,4807.6192,-6203.626,-6203.462,4807.7367,4807.6181,41,0.39,125,2655,"model",0,NA,"Accroche et force ~ 2.2 kts"
"2020-07-21","12",8,"GP261F",1,"13:12:25","13:17:27","        ","        ","13:19:51","13:12:25","13:18:44",NA,NA,-6153.5646,-6153.3631,4802.7727,4802.6621,-6153.561,-6153.363,4802.7718,4802.6621,34,0.23,100,2655,"model",0,NA,"Stable ~ 2.1 kts"
"2020-07-21","12",9,"GP257F",1,"14:08:56","14:13:56","        ","        ","14:16:04","14:08:47","14:15:31",NA,NA,-6154.8746,-6154.6798,4759.1965,4759.0804,-6154.869,-6154.679,4759.1932,4759.0804,31,0.43,100,2445,"model",0,NA,"Stable ~ 2.1 kts"
"2020-07-21","12",10,"GP278F",1,"15:33:05","15:38:07","        ","        ","15:40:35","15:32:58","15:39:45",NA,NA,-6140.4469,-6140.2027,4757.0417,4756.974,-6140.439,-6140.202,4757.0407,4756.974,31,0.63,100,2694,"model",0,NA,"Stable ~ 2.1 kts"
"2020-07-21","12",11,"GP290F",1,"16:57:58","17:02:59","        ","        ","17:05:51","16:57:06","17:04:33",NA,NA,-6127.8557,-6127.5472,4802.3219,4802.302,-6127.788,-6127.547,4802.3406,4802.302,37,0.31,100,1889,"model",0,NA,"Stable ~ 2.1 kts"
"2020-07-21","12",12,"GP287F",1,"17:37:00","17:41:58","        ","        ","17:44:24","17:36:57","17:43:21",NA,NA,-6127.5787,-6127.4742,4759.2582,4759.1004,-6127.578,-6127.474,4759.2562,4759.1004,33,0.59,100,1640,"model",0,NA,"Stable ~ 2.2 kts"
"2020-07-21","12",13,"GP303F",1,"18:14:31","18:19:31","        ","        ","18:21:54","18:14:17","18:21:08",NA,NA,-6122.8214,-6122.5751,4757.3251,4757.2354,-6122.81,-6122.575,4757.3209,4757.2354,31,0.63,100,2262,"model",0,NA,"Accrochages ~ 2.1 kts"
"2020-07-21","12",14,"GP300F",0,"19:02:34","19:07:33","        ","        ","19:09:36","        ","        ",NA,NA,NA,NA,NA,NA,-6122.619,-6122.374,4754.3182,4754.2595,29,NA,75,NA,"",0,NA,"Chalut déchiré (poche et belly) - accroche et force ~ 2.2 kts"
"2020-07-21","12",15,"GP300A1",1,"19:54:23","19:59:25","        ","        ","20:01:07","19:54:39","20:00:37",NA,NA,-6118.2644,-6118.0543,4754.1693,4754.0817,-6118.273,-6118.054,4754.1731,4754.0817,28,1.31,75,1788,"model",0,NA,"Accroche et force ~ 2.2 kts"
"2020-07-22","12",1,"GP253F",1,"05:21:35","05:26:37","        ","        ","05:28:22","05:21:27","05:28:00",NA,NA,-6156.5325,-6156.3086,4741.9818,4741.8939,-6156.524,-6156.308,4741.9789,4741.8939,22,1.74,75,2450,"average",0,NA,"Stable ~ 2.2 kts"
"2020-07-22","12",2,"GP242F",1,"06:04:42","06:09:44","        ","        ","06:11:25","06:04:48","06:11:02",NA,NA,-6157.8744,-6157.6456,4742.4274,4742.3413,-6157.876,-6157.645,4742.4283,4742.3413,22,1.5,75,2464,"average",0,NA,"Stable ~ 2.2 kts"
"2020-07-22","12",3,"GP239F",1,"06:47:06","06:52:08","        ","        ","06:53:35","06:47:15","06:53:18",NA,NA,-6159.1981,-6159.0025,4740.4705,4740.3579,-6154.202,-6159.002,4740.473,4740.3579,20,1.62,50,2450,"average",0,NA,"Stable ~ 2.1 kts"
"2020-07-22","12",4,"GP224F",1,"08:26:14","08:31:16","        ","        ","08:33:08","08:26:17","08:32:35",NA,NA,-6213.0411,-6212.8462,4739.0785,4738.9671,-6213.039,-6212.846,4739.0781,4738.9671,29,0.43,75,2369,"model",0,NA,"Stable ~ 2.1 kts"
"2020-07-22","12",5,"GP213F",1,"09:45:49","09:50:51","        ","        ","09:53:11","09:45:40","09:52:12",NA,NA,-6223.3819,-6223.1376,4737.8458,4737.7762,-6223.367,-6223.137,4737.844,4737.7762,30,0.63,100,2700,"model",0,NA,"Accrochages ~ 2.1 kts"
"2020-07-22","12",6,"GP205F",1,"10:39:58","10:45:00","        ","        ","10:47:55","10:39:50","10:46:34",NA,NA,-6228.0724,-6227.8277,4735.9917,4735.9286,-6228.063,-6227.827,4735.9918,4735.9286,41,0.63,125,3390,"model",0,NA,"Stable ~ 2.1 kts"
"2020-07-22","12",7,"GP222F",1,"11:50:57","11:56:01","        ","        ","11:58:26","11:50:55","11:57:48",NA,NA,-6216.5438,-6216.3072,4733.464,4733.3929,-6216.539,-6216.307,4733.4631,4733.3929,31,0.27,100,2673,"model",0,NA,"Stable ~ 2.2 kts"
"2020-07-22","12",8,"GP211F",1,"13:01:12","13:06:14","        ","        ","13:08:32","13:01:24","13:07:45",NA,NA,-6223.7421,-6223.5043,4730.4554,4730.4005,-6223.747,-6223.504,4730.457,4730.4005,33,0.43,100,2507,"model",0,NA,"Stable ~ 2.1 kts"
"2020-07-22","12",9,"GP194F",1,"14:26:33","14:31:36","        ","        ","14:33:49","14:26:23","14:32:56",NA,NA,-6234.9567,-6234.6999,4729.4021,4729.3653,-6234.945,-6234.699,4729.4004,4729.3653,37,0.39,100,2487,"model",0,NA,"Stable ~ 2.2 kts"
"2020-07-22","12",10,"GP199F",1,"15:34:35","15:39:36","        ","        ","15:41:51","15:34:23","15:41:12",NA,NA,-6230.8675,-6230.7611,4725.6506,4725.8117,-6230.863,-6230.761,4725.6577,4725.8117,37,0.35,100,2833,"model",0,NA,"Stable ~ 2.1 kts"
"2020-07-22","12",11,"GP219F",1,"17:01:45","17:06:48","        ","        ","17:08:15","17:01:44","17:08:07",NA,NA,-6221.974,-6221.7358,4722.9608,4722.9119,-6221.973,-6221.735,4722.9608,4722.9119,31,0.1,100,1790,"model",0,NA,"Force ~ 2.2 kts"
"2020-07-22","12",12,"GP212F",1,"18:07:25","18:12:26","        ","        ","18:14:45","18:07:24","18:13:40",NA,NA,-6227.099,-6226.8423,4719.0125,4719.0106,-6227.098,-6226.842,4719.0124,4719.0106,33,0.06,100,2558,"model",0,NA,"Stable ~ 2.1 kts"
"2020-07-22","12",13,"GP196F",1,"19:15:24","19:20:24","        ","        ","19:22:56","19:15:34","19:21:50",NA,NA,-6234.265,-6234.0238,4716.6194,4716.5804,-6234.272,-6234.023,4716.6198,4716.5804,34,0.19,100,2522,"model",0,NA,"Stable ~ 2.1 kts"
